site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
ROCKY_POINT_N VRG,33.78093,-118.43,Southern California,14,1000,s1000_c001,1113,19,True
ROCKY_POINT_S VRG,33.77602,-118.4323,Southern California,2,1000,s1000_c001,1068,19,True
Russian Gulch,39.32798,-123.809,Northern California,8,1000,s1000_c055,306,18,True
SABER_JETS UCSC,36.94802,-122.034,Central California,2,1000,s1000_c056,509,19,True
SANDHILL_UC UCSC,36.974306,-122.152109,Central California,13,1000,s1000_c057,206,19,True
SAN_SIMEON_BAY UCSC,35.62405,-121.1647,Central California,2,1000,s1000_c047,538,20,True
SAN_SIMEON_DC UCSC,35.631667,-121.190248,Central California,5,1000,s1000_c044,408,20,True
SAN_SIMEON_UC UCSC,35.630567,-121.19494,Central California,5,1000,s1000_c044,430,20,True
SBI_ARCH_POINT VRG,33.48911,-119.0279,Southern California,5,1000,s1000_c058,179,14,True
SBI_CAT_CANYON VRG,33.46442,-119.0441,Southern California,6,1000,s1000_c058,781,18,True
SBI_GRAVEYARD_CANYON VRG,33.47471,-119.0268,Southern California,4,1000,s1000_c058,358,21,True
SBI_SOUTHEAST_REEF VRG,33.46293,-119.0313,Southern California,6,1000,s1000_c058,809,20,True
SBI_SOUTHEAST_SEALION VRG,33.46878,-119.0288,Southern California,6,1000,s1000_c058,756,20,True
SBI_SUTIL VRG,33.46585,-119.0482,Southern California,4,1000,s1000_c058,718,17,True
SCAI_BIRD_ROCK VRG,33.45217,-118.4877,Southern California,4,1000,s1000_c059,108,21,True
SCAI_INDIAN_HEAD VRG,33.37996,-118.4821,Southern California,1,1000,s1000_c060,265,13,True
SCI_CAVERN_POINT_W UCSB,34.05275,-119.5713,Southern California,16,1000,s1000_c061,57,18,True
SCI_FORNEY_E UCSB,34.05148,-119.9097,Southern California,19,1000,s1000_c062,697,20,True
SCI_FORNEY_W UCSB,34.05388,-119.9182,Southern California,19,1000,s1000_c062,798,19,True
SCI_GULL_ISLE_E UCSB,33.94647,-119.8232,Southern California,17,1000,s1000_c063,944,20,True
SCI_HAZARDS_CEN UCSB,34.05658,-119.8212,Southern California,21,1000,s1000_c064,68,17,True
SCI_HAZARDS_W UCSB,34.0581,-119.8248,Southern California,21,1000,s1000_c064,49,17,True
SCI_POTATO_PASTURE_E UCSB,34.05098,-119.5759,Southern California,6,1000,s1000_c061,46,17,True
SCI_SCORPION_E UCSB,34.04847,-119.5464,Southern California,17,1000,s1000_c061,85,20,True
SCI_SCORPION_W UCSB,34.0525,-119.5553,Southern California,17,1000,s1000_c061,116,20,True
SCI_VALLEY_E UCSB,33.98355,-119.6203,Southern California,15,1000,s1000_c065,446,20,True
SCI_VALLEY_W UCSB,33.9817,-119.6637,Southern California,16,1000,s1000_c066,195,20,True
SCI_YELLOWBANKS_CEN UCSB,33.98853,-119.547,Southern California,17,1000,s1000_c067,1502,19,True
SCI_YELLOWBANKS_W UCSB,33.9893,-119.5649,Southern California,17,1000,s1000_c067,1271,20,True
SIREN UCSC,36.63073,-121.9186,Central California,13,1000,s1000_c005,702,19,True
SMI_CROOK_POINT_E UCSB,34.01587,-120.3305,Southern California,10,1000,s1000_c068,846,20,True
SMI_CROOK_POINT_W UCSB,34.01385,-120.3373,Southern California,10,1000,s1000_c068,1352,20,True
SMI_CUYLER_E UCSB,34.05172,-120.3462,Southern California,15,1000,s1000_c069,603,16,True
SMI_CUYLER_W UCSB,34.05705,-120.3526,Southern California,15,1000,s1000_c069,421,16,True
SMI_HARRIS_PT_RESERVE_E UCSB,34.05278,-120.3374,Southern California,14,1000,s1000_c069,514,16,True
SMI_HARRIS_PT_RESERVE_W UCSB,34.06368,-120.356,Southern California,14,1000,s1000_c069,287,12,True
SMI_TYLER_BIGHT_E UCSB,34.02547,-120.4067,Southern California,9,1000,s1000_c070,786,18,True
SMI_TYLER_BIGHT_W UCSB,34.02729,-120.4117,Southern California,10,1000,s1000_c070,707,17,True
SNI_BOILERS VRG,33.276,-119.6069,Southern California,1,1000,s1000_c071,2799,17,True
SOUTH_LA_JOLLA VRG,32.81593,-117.2837,Southern California,4,1000,s1000_c072,1876,19,True
SOUTH_WRECK_DC UCSC,36.22386,-121.7874,Central California,10,1000,s1000_c073,749,21,True
SOUTH_WRECK_UC UCSC,36.2253,-121.7905,Central California,9,1000,s1000_c073,755,21,True
SPANISH_BAY_DC UCSC,36.61666,-121.9546,Central California,3,1000,s1000_c005,1068,17,True
SPANISH_BAY_UC UCSC,36.61881,-121.9538,Central California,3,1000,s1000_c005,942,18,True
SRI_CLUSTER_POINT_N UCSB,33.93167,-120.1974,Southern California,16,1000,s1000_c074,2159,20,True
SRI_CLUSTER_POINT_S UCSB,33.92383,-120.192,Southern California,18,1000,s1000_c074,1417,20,True
SRI_JOHNSONS_LEE_NORTH_E UCSB,33.90295,-120.0992,Southern California,6,1000,s1000_c075,991,20,True
SRI_JOHNSONS_LEE_NORTH_W UCSB,33.9009,-120.0991,Southern California,6,1000,s1000_c075,1087,20,True
SRI_JOHNSONS_LEE_SOUTH_E UCSB,33.89743,-120.1004,Southern California,16,1000,s1000_c075,1146,20,True
SRI_JOHNSONS_LEE_SOUTH_W UCSB,33.89513,-120.1043,Southern California,17,1000,s1000_c075,1137,20,True
SRI_SOUTH_POINT_E UCSB,33.89157,-120.1192,Southern California,17,1000,s1000_c075,631,20,True
SRI_SOUTH_POINT_W UCSB,33.89417,-120.1249,Southern California,17,1000,s1000_c075,556,20,True
STILLWATER_DC UCSC,36.55973,-121.944,Central California,22,1000,s1000_c036,1350,18,True
STILLWATER_UC UCSC,36.56012,-121.9473,Central California,22,1000,s1000_c036,1127,18,True
STOCKTON UCSC,36.94623,-122.05,Central California,2,1000,s1000_c056,426,18,True
Salt Point,38.5649,-123.329,Northern California,5,1000,s1000_c027,290,18,True
Stillwater Sonoma,38.540298,-123.288803,Northern California,15,1000,s1000_c076,401,18,True
Stornetta,38.93724,-123.732,Northern California,3,1000,s1000_c041,610,15,True
TENERA UCSC,35.23863,-120.8955,Central California,8,1000,s1000_c008,691,19,True
TERRACE_DC UCSC,36.944871,-122.064289,Central California,13,1000,s1000_c056,537,19,True
Timber Cove,38.5306,-123.277,Northern California,1,1000,s1000_c076,491,18,True
Trinidad,41.055,-124.14,Northern California,7,1000,s1000_c024,73,20,True
UNDERWATER_ARCH VRG,33.75146,-118.4171,Southern California,1,1000,s1000_c001,252,17,True
Van Damme,39.271915,-123.795914,Northern California,15,1000,s1000_c077,739,17,True
WESTON_DC UCSC,36.51035,-121.9458,Central California,20,1000,s1000_c011,780,17,True
WESTON_UC UCSC,36.51261,-121.9488,Central California,21,1000,s1000_c011,796,17,True
WHITES_POINT VRG,33.71588,-118.3253,Southern California,3,1000,s1000_c000,693,21,True
WHITE_ROCK_UC UCSC,35.5271,-121.0898995,Central California,10,1000,s1000_c046,863,19,True
