site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
MACABEE_DC UCSC,36.61818,-121.8968,Central California,22,300,s300_c016,137,19,True
MACABEE_UC UCSC,36.61715,-121.8957,Central California,22,300,s300_c016,104,19,True
MALPASO UCSC,36.46575,-121.934,Central California,15,300,s300_c058,184,19,True
MATLAHUAYL VRG,32.85116,-117.2702,Southern California,4,300,s300_c059,59,13,True
MONASTERY_DC UCSC,36.52542,-121.9333,Central California,23,300,s300_c060,141,18,True
MONTANA_DE_ORO UCSC,35.23323,-120.8908,Central California,11,300,s300_c061,137,19,True
MacKerricher North,39.4928,-123.802,Northern California,4,300,s300_c062,23,14,True
Mendocino Headlands,39.30528,-123.811,Northern California,13,300,s300_c063,58,14,True
Monument,38.9277,-123.735,Northern California,3,300,s300_c064,58,13,True
NAPLES_CEN UCSB,34.42185,-119.9515,Southern California,22,300,s300_c065,87,12,True
NAPLES_E UCSB,34.42333,-119.951,Southern California,19,300,s300_c065,96,12,True
NAPLES_W UCSB,34.42463,-119.9553,Southern California,18,300,s300_c065,50,11,True
NICHOLAS_CANYON_W VRG,34.03996,-118.9243,Southern California,7,300,s300_c066,237,21,True
NORTH_SAN_SIMEON UCSC,35.63504,-121.2116,Central California,2,300,s300_c067,189,20,True
OTTER_PT_DC UCSC,36.63648,-121.9212,Central California,14,300,s300_c068,164,18,True
OTTER_PT_UC UCSC,36.63463,-121.9189,Central California,14,300,s300_c068,131,19,True
Ocean Cove,38.555119,-123.305664,Northern California,14,300,s300_c069,50,17,True
PARANOIDS UCSC,35.53717,-121.1002,Central California,2,300,s300_c070,141,19,True
PESCADERO_DC UCSC,36.55941,-121.9552,Central California,19,300,s300_c071,149,18,True
PESCADERO_UC UCSC,36.56112,-121.9598,Central California,18,300,s300_c071,243,17,True
PICO_CREEK_DC UCSC,35.60532,-121.1507,Central California,2,300,s300_c072,193,20,True
PICO_CREEK_UC UCSC,35.61252,-121.1557,Central California,2,300,s300_c073,154,20,True
PINNACLES_IN UCSC,36.55948,-121.9661,Central California,4,300,s300_c074,137,17,True
PINNACLES_OUT UCSC,36.55794,-121.9677,Central California,4,300,s300_c074,133,17,True
PINOS UCSC,36.64045,-121.9287,Central California,13,300,s300_c075,168,18,True
POINT_FERMIN VRG,33.70732,-118.3002,Southern California,3,300,s300_c077,210,21,True
POINT_LOMA_CEN VRG,32.7121,-117.263,Southern California,4,300,s300_c078,143,15,True
POINT_LOMA_S VRG,32.67412,-117.26,Southern California,1,300,s300_c079,304,15,True
POINT_VICENTE_W VRG,33.73974,-118.4137,Southern California,15,300,s300_c080,69,16,True
PT_JOE UCSC,36.60509,-121.9715,Central California,3,300,s300_c081,73,14,True
Pebble Beach,38.69121,-123.442,Northern California,6,300,s300_c083,86,17,True
Point Arena Lighthouse,38.9512,-123.744,Northern California,4,300,s300_c084,69,11,True
Point Arena MPA (M2),38.9448,-123.741,Northern California,7,300,s300_c085,65,11,True
Point Arena Ref,38.908,-123.719,Northern California,8,300,s300_c086,100,16,True
Portuguese Beach,39.30323,-123.803,Northern California,12,300,s300_c087,49,17,True
RADAR UCSC,35.51222,-121.0734,Central California,2,300,s300_c088,140,19,True
RESORT_POINT VRG,33.76648,-118.4275,Southern California,2,300,s300_c057,123,19,True
RIDGES_N VRG,33.78848,-118.4232,Southern California,13,300,s300_c089,263,16,True
RIDGES_S VRG,33.78575,-118.4258,Southern California,2,300,s300_c089,274,16,True
ROCKY_POINT_N VRG,33.78093,-118.43,Southern California,14,300,s300_c057,260,19,True
ROCKY_POINT_S VRG,33.77602,-118.4323,Southern California,2,300,s300_c057,233,19,True
Russian Gulch,39.32798,-123.809,Northern California,8,300,s300_c090,66,17,True
SABER_JETS UCSC,36.94802,-122.034,Central California,2,300,s300_c091,213,19,True
SANDHILL_UC UCSC,36.974306,-122.152109,Central California,13,300,s300_c092,54,19,True
SAN_SIMEON_BAY UCSC,35.62405,-121.1647,Central California,2,300,s300_c093,119,20,True
SAN_SIMEON_DC UCSC,35.631667,-121.190248,Central California,5,300,s300_c094,135,20,True
SAN_SIMEON_UC UCSC,35.630567,-121.19494,Central California,5,300,s300_c094,156,20,True
SBI_CAT_CANYON VRG,33.46442,-119.0441,Southern California,6,300,s300_c096,179,16,True
SBI_GRAVEYARD_CANYON VRG,33.47471,-119.0268,Southern California,4,300,s300_c097,72,20,True
SBI_SOUTHEAST_REEF VRG,33.46293,-119.0313,Southern California,6,300,s300_c098,212,15,True
SBI_SOUTHEAST_SEALION VRG,33.46878,-119.0288,Southern California,6,300,s300_c099,186,19,True
SBI_SUTIL VRG,33.46585,-119.0482,Southern California,4,300,s300_c096,49,15,True
SCAI_INDIAN_HEAD VRG,33.37996,-118.4821,Southern California,1,300,s300_c101,71,13,True
SCI_COCHE_POINT_E UCSB,34.04493,-119.6014,Southern California,17,300,s300_c103,11,10,True
SCI_FORNEY_E UCSB,34.05148,-119.9097,Southern California,19,300,s300_c104,130,20,True
SCI_FORNEY_W UCSB,34.05388,-119.9182,Southern California,19,300,s300_c105,142,17,True
SCI_GULL_ISLE_E UCSB,33.94647,-119.8232,Southern California,17,300,s300_c106,120,18,True
SCI_HAZARDS_CEN UCSB,34.05658,-119.8212,Southern California,21,300,s300_c107,20,11,True
SCI_POTATO_PASTURE_E UCSB,34.05098,-119.5759,Southern California,6,300,s300_c102,13,15,True
SCI_SCORPION_W UCSB,34.0525,-119.5553,Southern California,17,300,s300_c109,36,14,True
SCI_VALLEY_E UCSB,33.98355,-119.6203,Southern California,15,300,s300_c110,126,18,True
SCI_VALLEY_W UCSB,33.9817,-119.6637,Southern California,16,300,s300_c111,74,13,True
SCI_YELLOWBANKS_CEN UCSB,33.98853,-119.547,Southern California,17,300,s300_c112,270,12,True
SCI_YELLOWBANKS_W UCSB,33.9893,-119.5649,Southern California,17,300,s300_c113,211,19,True
SIREN UCSC,36.63073,-121.9186,Central California,13,300,s300_c068,190,18,True
SMI_CROOK_POINT_E UCSB,34.01587,-120.3305,Southern California,10,300,s300_c114,141,18,True
SMI_CROOK_POINT_W UCSB,34.01385,-120.3373,Southern California,10,300,s300_c115,132,20,True
SMI_HARRIS_PT_RESERVE_E UCSB,34.05278,-120.3374,Southern California,14,300,s300_c118,108,10,True
SMI_HARRIS_PT_RESERVE_W UCSB,34.06368,-120.356,Southern California,14,300,s300_c119,87,12,True
SMI_TYLER_BIGHT_E UCSB,34.02547,-120.4067,Southern California,9,300,s300_c120,131,18,True
SMI_TYLER_BIGHT_W UCSB,34.02729,-120.4117,Southern California,10,300,s300_c120,153,17,True
SNI_BOILERS VRG,33.276,-119.6069,Southern California,1,300,s300_c121,293,15,True
SOUTH_LA_JOLLA VRG,32.81593,-117.2837,Southern California,4,300,s300_c122,144,16,True
SOUTH_WRECK_DC UCSC,36.22386,-121.7874,Central California,10,300,s300_c123,245,21,True
SOUTH_WRECK_UC UCSC,36.2253,-121.7905,Central California,9,300,s300_c123,204,21,True
SPANISH_BAY_DC UCSC,36.61666,-121.9546,Central California,3,300,s300_c124,175,18,True
SPANISH_BAY_UC UCSC,36.61881,-121.9538,Central California,3,300,s300_c124,200,17,True
SRI_CLUSTER_POINT_N UCSB,33.93167,-120.1974,Southern California,16,300,s300_c125,228,16,True
SRI_CLUSTER_POINT_S UCSB,33.92383,-120.192,Southern California,18,300,s300_c126,246,15,True
SRI_JOHNSONS_LEE_NORTH_E UCSB,33.90295,-120.0992,Southern California,6,300,s300_c127,230,20,True
SRI_JOHNSONS_LEE_NORTH_W UCSB,33.9009,-120.0991,Southern California,6,300,s300_c127,163,20,True
SRI_JOHNSONS_LEE_SOUTH_E UCSB,33.89743,-120.1004,Southern California,16,300,s300_c127,182,20,True
SRI_JOHNSONS_LEE_SOUTH_W UCSB,33.89513,-120.1043,Southern California,17,300,s300_c127,205,20,True
SRI_SOUTH_POINT_E UCSB,33.89157,-120.1192,Southern California,17,300,s300_c128,174,20,True
SRI_SOUTH_POINT_W UCSB,33.89417,-120.1249,Southern California,17,300,s300_c129,182,20,True
STILLWATER_DC UCSC,36.55973,-121.944,Central California,22,300,s300_c130,158,19,True
STILLWATER_UC UCSC,36.56012,-121.9473,Central California,22,300,s300_c130,195,18,True
STOCKTON UCSC,36.94623,-122.05,Central California,2,300,s300_c131,134,18,True
Salt Point,38.5649,-123.329,Northern California,5,300,s300_c038,95,17,True
Stillwater Sonoma,38.540298,-123.288803,Northern California,15,300,s300_c132,80,17,True
TENERA UCSC,35.23863,-120.8955,Central California,8,300,s300_c134,176,19,True
TERRACE_DC UCSC,36.944871,-122.064289,Central California,13,300,s300_c135,163,19,True
Timber Cove,38.5306,-123.277,Northern California,1,300,s300_c136,115,18,True
