site_id,support_m,overlap_cluster,region_group,latitude,longitude,year,annual_area_m2,annual_complete,valid_quarters,selected_quarter,pre2005_footprint_pixels,positive_reference_years,p95_annual_area_pre2005,relative_canopy,next_year_area_m2,relative_drop_next,event,eligible,canopy_lag1,canopy_lag2,canopy_2yr_change,canopy_3yr_change,canopy_3yr_mean,canopy_3yr_std,canopy_3yr_slope,canopy_drop_from_3yr_max,annual_mean_sst_mur1km,annual_max_sst_mur1km,annual_max_7day_mean_anomaly_mur1km,annual_positive_anomaly_degree_days_mur1km,annual_days_above_expanding_p90_mur1km,annual_max_consecutive_hot_days_mur1km
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2016,68109.0,True,4,3,608,19,135241.49999999985,0.503610208404965,7270.0,0.8932593343023683,1,True,0.9697319240026184,0.5761545087861351,-0.0725443003811701,-0.1113933223160051,0.6831655470645729,0.2508104566659794,-0.0362721501905849,0.4806706926525757,14.198592896174864,16.694,1.9689450549450545,231.84871978021977,29.0,7.0
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2017,7270.0,True,4,3,608,19,135241.49999999985,0.053755688897269,58737.0,-7.079367262723522,0,True,0.503610208404965,0.9697319240026184,-0.9159762351053496,-0.522398819888866,0.5090326071016175,0.4580121915682617,-0.4579881175526748,0.944566444017446,14.2268301369863,18.413,2.7898380952380952,240.3322380952381,73.0,38.0
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2018,58737.0,True,4,3,608,19,135241.49999999985,0.4343119530617456,49705.0,0.1537701959582545,0,True,0.053755688897269,0.503610208404965,-0.0692982553432193,-0.5354199709408729,0.3305592834546598,0.2422101040797496,-0.0346491276716098,0.1376029599612385,14.458627397260273,17.917,3.288866071428571,308.91897083333333,92.0,31.0
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2019,49705.0,True,4,3,608,19,135241.49999999985,0.3675277189324287,88605.0,-0.7826174429131878,0,True,0.4343119530617456,0.053755688897269,0.3137720300351597,-0.1360824894725362,0.2851984536304811,0.2031978063183136,0.1568860150175798,0.1537701959582545,14.179397260273973,16.903,1.911991596638656,211.7273823529412,21.0,8.0
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2020,88605.0,True,4,3,608,19,135241.49999999985,0.6551613225230428,17946.0,0.7974606399187405,1,True,0.3675277189324287,0.4343119530617456,0.2208493694612972,0.6014056336257738,0.4856669981724056,0.150536633323485,0.1104246847306485,0.0,14.201756830601097,17.701,2.1316638655462183,248.0442189542484,71.0,40.0
CROWBAR UCSC,1000,s1000_c008,Central California,35.22616,-120.8814,2021,17946.0,True,4,3,608,19,135241.49999999985,0.1326959550138087,31237.0,-0.7406107210520451,0,True,0.6551613225230428,0.3675277189324287,-0.2348317639186199,-0.3016159980479368,0.3851283321564267,0.2616769979402768,-0.1174158819593098,0.7974606399187406,13.538917355371902,16.905,1.9535413533834585,99.22301461988305,34.0,15.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2004,133762.0,True,4,3,788,16,252312.75,0.5301436411754856,108950.0,0.1854936379539779,0,True,0.3430702570520118,0.5923006269005431,-0.0621569857250574,0.0331572621676867,0.4885048417093469,0.1297277400151752,-0.0310784928625287,0.1049416173174076,13.194136612021858,15.854,1.9145714285714284,142.16649999999998,15.0,5.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2005,108950.0,True,4,3,788,16,252312.75,0.4318053685356764,128725.0,-0.1815052776502983,0,True,0.5301436411754856,0.3430702570520118,0.0887351114836646,-0.1604952583648666,0.4350064222543913,0.0935777634939773,0.0443675557418323,0.185493637953978,13.41146978021978,15.448,2.6410714285714283,221.82633333333337,27.0,11.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2006,128725.0,True,4,3,788,16,252312.75,0.5101803218426338,96729.0,0.248560885608856,0,True,0.4318053685356764,0.5301436411754856,-0.0199633193328517,0.167110064790622,0.4907097771845987,0.0519800976182784,-0.0099816596664258,0.0376564345628803,13.57212602739726,16.786,2.462071428571428,224.64516666666668,108.0,59.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2007,96729.0,True,4,3,788,16,252312.75,0.3833694492252175,91858.0,0.0503571834713477,0,True,0.5101803218426338,0.4318053685356764,-0.0484359193104589,-0.146774191950268,0.4417850465345093,0.0639917559785471,-0.0242179596552293,0.2485608856088561,12.801693150684931,17.292,1.4889142857142856,66.38050000000001,23.0,12.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2008,91858.0,True,4,3,788,16,252312.75,0.3640640435332737,228296.0,-1.4853142894467548,0,True,0.3833694492252175,0.5101803218426338,-0.1461162783093601,-0.0677413250024027,0.4192046048670417,0.0793763849116971,-0.0730581391546801,0.286401242959798,12.63136338797814,16.499000000000002,2.4797857142857143,86.72059999999999,49.0,35.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2009,228296.0,True,4,3,788,16,252312.75,0.9048135696670104,188978.0,0.1722237796544836,0,True,0.3640640435332737,0.3833694492252175,0.5214441204417929,0.3946332478243766,0.5507490208085005,0.3067807902086076,0.2607220602208964,0.0,12.89201917808219,15.318,2.549306122448979,99.98145238095238,11.0,3.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2010,188978.0,True,4,3,788,16,252312.75,0.7489831568162925,147459.0,0.2197028225507731,0,True,0.9048135696670104,0.3640640435332737,0.3849191132830187,0.3656137075910749,0.6726202566721922,0.2783450770038488,0.1924595566415093,0.1722237796544836,13.02068219178082,15.255,1.1603035714285714,123.24760714285712,6.0,5.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2011,147459.0,True,4,3,788,16,252312.75,0.5844294432207647,110754.0,0.248916648017415,0,True,0.7489831568162925,0.9048135696670104,-0.3203841264462457,0.220365399687491,0.7460753899013559,0.160211854901579,-0.1601920632231228,0.3540885517048042,12.988928767123287,16.241999999999997,2.0673333333333326,92.75769444444444,37.0,29.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2012,110754.0,True,4,3,788,16,252312.75,0.4389552252115677,136577.0,-0.2331563645556819,0,True,0.5844294432207647,0.7489831568162925,-0.3100279316047247,-0.4658583444554426,0.590789275082875,0.1551117828849944,-0.1550139658023622,0.4139317804188847,13.032540983606555,16.238,1.9917142857142864,135.78755555555557,46.0,21.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2013,136577.0,True,4,3,788,16,252312.75,0.5413004297246176,88114.0,0.3548401268149103,1,True,0.4389552252115677,0.5844294432207647,-0.0431290134961471,-0.2076827270916749,0.5215616993856501,0.0747188070895987,-0.0215645067480736,0.0737967841908598,12.888460273972605,15.156,1.819792207792208,81.76463636363636,8.0,2.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2014,88114.0,True,4,3,788,16,252312.75,0.3492253165961688,75351.0,0.1448464489184465,0,True,0.5413004297246176,0.4389552252115677,-0.0897299086153989,-0.2352041266245959,0.4431603238441181,0.0961065783997573,-0.0448649543076994,0.3548401268149103,14.642912328767125,18.099,3.573357142857143,591.0871515151516,171.0,171.0
