outcome,axis,primary_300m_estimate,primary_300m_ci_low,primary_300m_ci_high,primary_300m_q_value,same_direction_family_count_300m,estimate_1000m_logistic,support_direction_consistent,stable_condition_supported
trajectory_rank_quality_pp,grazing_log1p,-0.34739686501069955,-4.472272057042143,3.777478327020744,0.8584313935912286,1,-1.0460976757610454,True,False
trajectory_rank_quality_pp,rock_probability,0.6812960700279957,-0.7878491112024939,2.1504412512584854,0.6694081425473877,3,1.6543543747731249,True,False
trajectory_rank_quality_pp,depth_m,-0.7667277046159846,-3.318039593980927,1.7845841847489576,0.7033168610215963,2,-1.5600152125451952,True,False
trajectory_rank_quality_pp,kelp_species_contrast,2.65009222769952,-2.430702712287727,7.730887167686767,0.6694081425473877,3,2.770091797178126,True,False
trajectory_false_negative,grazing_log1p,0.053268761807666654,-0.0206120079292003,0.12714953154453362,0.3590214898417981,3,0.10638878865108942,True,False
trajectory_false_negative,rock_probability,-0.01440102247882133,-0.061284663291737485,0.032482618334094826,0.5185481953798444,1,-0.006769142082096419,True,False
trajectory_false_negative,depth_m,0.039558842095634275,-0.020680091841666755,0.0997977760329353,0.3590214898417981,3,0.016992407047984433,True,False
trajectory_false_negative,kelp_species_contrast,-0.05504964879405143,-0.16839330145260767,0.058294003864504826,0.41756260219769725,3,-0.011992122038447753,True,False
trajectory_false_positive,grazing_log1p,-0.017178510574241735,-0.08487397529111938,0.05051695414263592,0.8658077298981187,3,-0.017708171044096378,True,False
trajectory_false_positive,rock_probability,-0.020492082726041708,-0.058337468121852455,0.01735330266976904,0.8658077298981187,3,-0.008638981994422052,True,False
trajectory_false_positive,depth_m,-0.007607234633647584,-0.05061742926611031,0.035402959998815146,0.8658077298981187,3,-0.014429604290315552,True,False
trajectory_false_positive,kelp_species_contrast,0.005035397405056232,-0.058077957681711576,0.06814875249182405,0.8658077298981187,1,-0.026539522804353816,False,False
mur_signed_rank_gain_pp,grazing_log1p,-0.09291502490476164,-2.2757590592131995,2.0899290094036767,0.928133104049912,3,-2.0554178138007666,True,False
mur_signed_rank_gain_pp,rock_probability,-0.9200498564121138,-2.3337618799005257,0.4936621670762984,0.3663606813180022,1,-2.2094533879297034,True,False
mur_signed_rank_gain_pp,depth_m,0.06587203348759946,-1.230410182169192,1.362154249144391,0.928133104049912,1,0.35541134061888496,True,False
mur_signed_rank_gain_pp,kelp_species_contrast,-2.6017470820397577,-5.56460105328833,0.3611068892088145,0.3210212381348383,3,-3.5377017873937264,True,False
mur_brier_gain,grazing_log1p,-0.005297162135512373,-0.021154505707089134,0.010560181436064388,0.5191486802779056,3,-0.0052627009786060976,True,False
mur_brier_gain,rock_probability,-0.009641288145274263,-0.02178039148394432,0.002497815193395791,0.43964200923936864,1,-0.009643761239442609,True,False
mur_brier_gain,depth_m,0.002944161409083371,-0.006654790752595635,0.012543113570762376,0.5191486802779056,2,-0.003142159107353759,False,False
mur_brier_gain,kelp_species_contrast,-0.006240258895784808,-0.02499822518170651,0.012517707390136893,0.5191486802779056,3,-0.0018042571460537568,True,False
