support_m,model_family,outcome,outcome_label,axis,axis_label,n,cells,years,events,axis_mean,axis_sd,estimate_per_sd,standard_error,ci_low,ci_high,t_statistic,degrees_freedom,p_value,cell_clusters,year_clusters,q_value,ci_excludes_zero,supported_bh
300,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,-0.34739686501069955,1.9093385657544082,-4.472272057042143,3.777478327020744,-0.18194618348026603,13,0.8584313935912286,120,14,0.8584313935912286,False,False
300,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,0.6812960700279957,0.6800437401438448,-0.7878491112024939,2.1504412512584854,1.0018415431393957,13,0.33470407127369384,120,14,0.6694081425473877,False,False
300,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,-0.7667277046159846,1.180961352004731,-3.318039593980927,1.7845841847489576,-0.6492403018222674,13,0.5274876457661972,120,14,0.7033168610215963,False,False
300,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,2.65009222769952,2.3518184846775734,-2.430702712287727,7.730887167686767,1.1268268554589744,13,0.28018622458396686,120,14,0.6694081425473877,False,False
300,logistic,trajectory_false_negative,False-negative probability,grazing_log1p,Urchin grazing pressure,326,96,14,326,3.3861229470514007,2.322088288028331,0.053268761807666654,0.03419822330593946,-0.0206120079292003,0.12714953154453362,1.5576470546765238,13,0.14331981517769124,96,14,0.3590214898417981,False,False
300,logistic,trajectory_false_negative,False-negative probability,rock_probability,Rock probability,337,96,14,337,0.6783100435192878,0.21330975583578426,-0.01440102247882133,0.021701685345537066,-0.061284663291737485,0.032482618334094826,-0.6635900507046513,13,0.5185481953798444,96,14,0.5185481953798444,False,False
300,logistic,trajectory_false_negative,False-negative probability,depth_m,Depth,337,96,14,337,10.718416974035607,2.982012361184601,0.039558842095634275,0.027883636321557853,-0.020680091841666755,0.0997977760329353,1.4187117361393031,13,0.17951074492089905,96,14,0.3590214898417981,False,False
300,logistic,trajectory_false_negative,False-negative probability,kelp_species_contrast,Bull-vs-giant kelp contrast,327,96,14,327,-1.1238884811273466,1.9984007684226175,-0.05504964879405143,0.05246495884833645,-0.16839330145260767,0.058294003864504826,-1.0492650714391427,13,0.31317195164827294,96,14,0.41756260219769725,False,False
300,logistic,trajectory_false_positive,False-positive probability,grazing_log1p,Urchin grazing pressure,408,96,14,0,2.9841119813258494,2.356338651225103,-0.017178510574241735,0.03133514482093838,-0.08487397529111938,0.05051695414263592,-0.5482186430733496,13,0.5928315853897362,96,14,0.8658077298981187,False,False
300,logistic,trajectory_false_positive,False-positive probability,rock_probability,Rock probability,415,96,14,0,0.6646278597566265,0.19158681601460953,-0.020492082726041708,0.017518021881402245,-0.058337468121852455,0.01735330266976904,-1.1697714995890507,13,0.2630930647141862,96,14,0.8658077298981187,False,False
300,logistic,trajectory_false_positive,False-positive probability,depth_m,Depth,415,96,14,0,10.888246922171085,2.8425107246837666,-0.007607234633647584,0.019908729236464695,-0.05061742926611031,0.035402959998815146,-0.38210548464912686,13,0.7085565419328733,96,14,0.8658077298981187,False,False
300,logistic,trajectory_false_positive,False-positive probability,kelp_species_contrast,Bull-vs-giant kelp contrast,408,96,14,0,-1.3415419099733858,1.8119620457369663,0.005035397405056232,0.02921415976757615,-0.058077957681711576,0.06814875249182405,0.1723615344448433,13,0.8658077298981187,96,14,0.8658077298981187,False,False
300,logistic,mur_signed_rank_gain_pp,MUR signed rank gain (pp),grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,-0.09291502490476164,1.0104034919125544,-2.2757590592131995,2.0899290094036767,-0.09195833708856876,13,0.928133104049912,120,14,0.928133104049912,False,False
300,logistic,mur_signed_rank_gain_pp,MUR signed rank gain (pp),rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,-0.9200498564121138,0.6543846205411566,-2.3337618799005257,0.4936621670762984,-1.4059771998480952,13,0.1831803406590011,120,14,0.3663606813180022,False,False
300,logistic,mur_signed_rank_gain_pp,MUR signed rank gain (pp),depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,0.06587203348759946,0.6000282460027987,-1.230410182169192,1.362154249144391,0.10978155432918105,13,0.9142592227890768,120,14,0.928133104049912,False,False
300,logistic,mur_signed_rank_gain_pp,MUR signed rank gain (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,-2.6017470820397577,1.371457580809242,-5.56460105328833,0.3611068892088145,-1.897067119279454,13,0.08025530953370957,120,14,0.3210212381348383,False,False
300,logistic,mur_brier_gain,MUR Brier-score improvement,grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,-0.005297162135512373,0.007340109996568948,-0.021154505707089134,0.010560181436064388,-0.7216733997158724,13,0.48327425959790643,120,14,0.5191486802779056,False,False
