scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,region_group,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
region_year,upwelling_supported_domain,trajectory_plus_oisst,49,31,0.6326530612244898,0.6693237223902864,0.036670661165796536,True,Southern California,2010,5,4,0.12903225806451613,10,7,0.22580645161290322
region_year,upwelling_supported_domain,trajectory_plus_oisst,47,26,0.5531914893617021,0.6622234162668788,0.1090319269051766,True,Southern California,2011,5,2,0.07692307692307693,10,7,0.2692307692307692
region_year,upwelling_supported_domain,trajectory_plus_oisst,45,3,0.06666666666666667,0.14206349206349206,0.07539682539682539,True,Southern California,2012,5,0,0.0,9,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst,52,43,0.8269230769230769,0.8404410217640972,0.013517944841020313,True,Southern California,2013,6,5,0.11627906976744186,11,9,0.20930232558139536
region_year,upwelling_supported_domain,trajectory_plus_oisst,43,23,0.5348837209302325,0.7156958040576484,0.18081208312741592,True,Southern California,2014,5,4,0.17391304347826086,9,6,0.2608695652173913
region_year,upwelling_supported_domain,trajectory_plus_oisst,34,14,0.4117647058823529,0.808029582563744,0.3962648766813911,True,Southern California,2015,4,4,0.2857142857142857,7,5,0.35714285714285715
region_year,upwelling_supported_domain,trajectory_plus_oisst,35,8,0.22857142857142856,0.6117853901996371,0.38321396162820853,True,Southern California,2016,4,3,0.375,7,4,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst,40,9,0.225,0.3323132203376292,0.10731322033762922,True,Southern California,2017,4,1,0.1111111111111111,8,2,0.2222222222222222
region_year,upwelling_supported_domain,trajectory_plus_oisst,45,37,0.8222222222222222,0.9360072305922718,0.11378500837004957,True,Southern California,2018,5,5,0.13513513513513514,9,9,0.24324324324324326
region_year,upwelling_supported_domain,trajectory_plus_oisst,26,8,0.3076923076923077,0.5139057500470544,0.2062134423547467,True,Southern California,2019,3,1,0.125,6,3,0.375
region_year,upwelling_supported_domain,trajectory_plus_oisst,39,13,0.3333333333333333,0.3927241339140653,0.059390800580731984,True,Southern California,2020,4,2,0.15384615384615385,8,2,0.15384615384615385
region_year,upwelling_supported_domain,trajectory_plus_oisst,40,12,0.3,0.7644654769866994,0.46446547698669943,True,Southern California,2021,4,4,0.3333333333333333,8,6,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst,41,27,0.6585365853658537,0.7095265821023802,0.05098999673652649,True,Southern California,2022,5,3,0.1111111111111111,9,5,0.18518518518518517
region_year,upwelling_supported_domain,trajectory_plus_oisst,29,1,0.034482758620689655,0.5,0.46551724137931033,True,Southern California,2023,3,1,1.0,6,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst,37,9,0.24324324324324326,0.2695580865515506,0.026314843308307356,True,Southern California,2024,4,0,0.0,8,1,0.1111111111111111
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,33,17,0.5151515151515151,0.6593510468107772,0.14419953165926203,True,Central California,2005,4,3,0.17647058823529413,7,4,0.23529411764705882
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,33,2,0.06060606060606061,0.35,0.28939393939393937,True,Central California,2006,4,1,0.5,7,1,0.5
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,7,0.20588235294117646,0.31070428171268505,0.10482192877150859,True,Central California,2007,4,1,0.14285714285714285,7,1,0.14285714285714285
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,33,3,0.09090909090909091,0.10062111801242235,0.009712027103331439,True,Central California,2008,4,0,0.0,7,0,0.0
