domain,model,model_label_ko,n,cells,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,macro_region_year_ap_lift,estimable_region_years,top10_recall_micro,top20_recall_micro,brier,log_loss
full_oisst_domain,current_only,현재 상태,2614,165,1008,0.3856159143075746,0.5649939433284785,0.17653421471286107,20,0.22316997095875926,99,0.1765873015873016,0.32043650793650796,0.21683800102327205,0.6299092905364123
full_oisst_domain,current_plus_trajectory,현재+과거 변화,2614,165,1008,0.3856159143075746,0.5706615552424545,0.20042407543393503,20,0.22775359327875916,99,0.18253968253968253,0.32341269841269843,0.21431611049986343,0.6243118823689603
full_oisst_domain,trajectory_plus_oisst,현재+과거+OISST,2614,165,1008,0.3856159143075746,0.5438218378494796,0.17791956075515838,20,0.22823118122644218,99,0.1736111111111111,0.30456349206349204,0.2217053180748615,0.6431571749048277
upwelling_supported_domain,current_only,현재 상태,1698,107,661,0.38928150765606595,0.554725514764697,0.15937485855075334,20,0.19245137657683534,58,0.16187594553706505,0.28895612708018154,0.21965371967720318,0.6339225211092921
upwelling_supported_domain,current_plus_trajectory,현재+과거 변화,1698,107,661,0.38928150765606595,0.5475137610488563,0.17080012251051221,20,0.1843926514348461,58,0.16792738275340394,0.2874432677760968,0.2204493927613614,0.6361316567515881
upwelling_supported_domain,trajectory_plus_oisst,현재+과거+OISST,1698,107,661,0.38928150765606595,0.5203225519631101,0.16212066752832938,20,0.1944631221571305,58,0.1573373676248109,0.27987897125567324,0.2297459409454065,0.6589504742425191
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,현재+과거+OISST+CUTI/BEUTI,1698,107,661,0.38928150765606595,0.508248402002189,0.15903521639198726,20,0.20711227923767883,58,0.1588502269288956,0.2783661119515885,0.23588524143571718,0.6786580591287116
