cell_id,year,center_lat_x,center_lon,requested_oisst_lat,requested_oisst_lon,annual_mean_sst,annual_max_sst,oisst_observed_weeks,hot_weeks_p90,annual_mean_sst_anomaly,annual_max_sst_anomaly,winter_mean_sst,winter_mean_sst_anomaly,summer_mean_sst,summer_mean_sst_anomaly,oisst_source_lat,oisst_source_lon,oisst_source_distance_km,lag1_annual_mean_sst_anomaly,lag1_hot_weeks_p90,center_lat_y,region_group,upwelling_supported,upwelling_lat_bin,annual_mean_cuti,cuti_anomaly,winter_mean_cuti,winter_cuti_anomaly,spring_mean_cuti,spring_cuti_anomaly,upwelling_season_mean_cuti,upwelling_season_cuti_anomaly,annual_mean_beuti,beuti_anomaly,winter_mean_beuti,winter_beuti_anomaly,spring_mean_beuti,spring_beuti_anomaly,upwelling_season_mean_beuti,upwelling_season_beuti_anomaly,lag1_cuti_anomaly,lag1_beuti_anomaly
westcoast_0001,1984,48.34552737936016,-124.73275960794618,48.375,-124.625,9.765754537762335,12.64833164215088,53.0,0.0,-0.6042231108522902,-1.2005568004789797,8.453717818626991,0.03448210909544258,10.883213928767614,-1.457226600776723,48.375,-124.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1985,48.34552737936016,-124.73275960794618,48.375,-124.625,9.500288183872517,13.005000114440918,52.0,2.0,-0.869689464742109,-0.8438883281889424,7.416666507720947,-1.0025692018106014,11.989102290226864,-0.35133823931747266,48.375,-124.625,0.0,-0.6042231108522902,0.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1986,48.34552737936016,-124.73275960794618,48.375,-124.625,10.00384586590987,12.450000762939451,52.0,0.0,-0.36613178270475544,-1.398887679690409,8.431025321667011,0.01178961213546259,11.462820273179274,-0.8776202563650628,48.375,-124.625,0.0,-0.869689464742109,2.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1987,48.34552737936016,-124.73275960794618,48.375,-124.625,9.960736953295195,11.94333267211914,52.0,0.0,-0.40924069531943097,-1.9055557705107198,8.627692002516527,0.20845629298497848,10.983846004192646,-1.3565945253516905,48.375,-124.625,0.0,-0.36613178270475544,0.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1988,48.34552737936016,-124.73275960794618,48.375,-124.625,9.929262628922096,12.12166690826416,52.0,0.0,-0.44071501969252935,-1.7272215343657003,8.11974360392644,-0.2994921056051094,11.210640613849346,-1.1297999156949903,48.375,-124.625,0.0,-0.40924069531943097,0.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1989,48.34552737936016,-124.73275960794618,48.375,-124.625,9.84144629172559,14.139999389648438,53.0,4.0,-0.5285313568890349,0.2911109470185771,7.076281877664419,-1.3429538318671295,12.194102140573355,-0.14633838897098173,48.375,-124.625,0.0,-0.44071501969252935,0.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1990,48.34552737936016,-124.73275960794618,48.375,-124.625,10.6032690176597,15.074999809265137,52.0,11.0,0.23329136904507486,1.2261113666352763,8.149999817212423,-0.26923589231912537,13.545951979500908,1.2055114499565711,48.375,-124.625,0.0,-0.5285313568890349,4.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1991,48.34552737936016,-124.73275960794618,48.375,-124.625,9.696249805963957,13.470000267028809,52.0,3.0,-0.6737278426506688,-0.3788881756010518,7.5715383016146145,-0.8476974079169342,12.105512545658993,-0.23492798388534375,48.375,-124.625,0.0,0.23329136904507486,11.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1992,48.34552737936016,-124.73275960794618,48.375,-124.625,10.83570477595696,15.143332481384276,52.0,7.0,0.4657271273423351,1.2944440387544152,9.422692152170034,1.0034564426384858,12.642691758962778,0.3022512294184416,48.375,-124.625,0.0,-0.6737278426506688,3.0,,,,,,,,,,,,,,,,,,,,,,
westcoast_0001,1993,48.34552737936016,-124.73275960794618,48.375,-124.625,10.441986955129183,14.923332214355469,52.0,9.0,0.07200930651455728,1.0744437717256083,7.793076808636005,-0.6261589008955433,12.455384401174692,0.11494387163035569,48.375,-124.625,0.0,0.4657271273423351,7.0,,,,,,,,,,,,,,,,,,,,,,
