domain,model,omitted_year,macro_year_ap_lift,macro_region_year_ap_lift
full_oisst_domain,current_only,2005,0.17765624229863305,0.2180474750135672
full_oisst_domain,current_only,2006,0.16944091906120512,0.2149991377479643
full_oisst_domain,current_only,2007,0.1729984432528997,0.2235494785126081
full_oisst_domain,current_only,2008,0.17221692530368116,0.2202785017763424
full_oisst_domain,current_only,2009,0.17995669183676002,0.22356504879649386
full_oisst_domain,current_only,2010,0.17690065363337149,0.2138317030239725
full_oisst_domain,current_only,2011,0.1756140691399195,0.2232859833784827
full_oisst_domain,current_only,2012,0.16990914583245306,0.22547434631198274
full_oisst_domain,current_only,2013,0.17954429396205437,0.22795003206210304
full_oisst_domain,current_only,2014,0.1769366087870147,0.22317128905927258
full_oisst_domain,current_only,2015,0.17246619162543933,0.2222891215998371
full_oisst_domain,current_only,2016,0.17031214156768978,0.2190323178564415
full_oisst_domain,current_only,2017,0.18178224525050468,0.22494721320248176
full_oisst_domain,current_only,2018,0.18071303021561907,0.22562239971676795
full_oisst_domain,current_only,2019,0.17163683803334648,0.22589845094207894
full_oisst_domain,current_only,2020,0.18246207305193504,0.22906688149420812
full_oisst_domain,current_only,2021,0.1776647638233136,0.22626586887464023
full_oisst_domain,current_only,2022,0.17675288291320318,0.22086953346778887
full_oisst_domain,current_only,2023,0.18112776635021133,0.2284256658790976
full_oisst_domain,current_only,2024,0.1845923683179666,0.22647613521585094
full_oisst_domain,current_plus_trajectory,2005,0.20223956575381066,0.22395960566407466
full_oisst_domain,current_plus_trajectory,2006,0.1878461488674839,0.21866411013833126
full_oisst_domain,current_plus_trajectory,2007,0.19591048139563144,0.22702772957106862
full_oisst_domain,current_plus_trajectory,2008,0.19625155975159145,0.22573330811898376
full_oisst_domain,current_plus_trajectory,2009,0.20752164568430806,0.23482850056335558
full_oisst_domain,current_plus_trajectory,2010,0.2013715805382698,0.21843564239956814
full_oisst_domain,current_plus_trajectory,2011,0.20277001590004323,0.22844721762409798
full_oisst_domain,current_plus_trajectory,2012,0.1964323410376205,0.2302164180936131
full_oisst_domain,current_plus_trajectory,2013,0.2056196865518788,0.23382340679527525
full_oisst_domain,current_plus_trajectory,2014,0.2036563800491607,0.2315312988383388
full_oisst_domain,current_plus_trajectory,2015,0.1989353904218278,0.2297759000070236
full_oisst_domain,current_plus_trajectory,2016,0.19415975515533948,0.22520640860040497
full_oisst_domain,current_plus_trajectory,2017,0.20412503481167388,0.22868549848882622
full_oisst_domain,current_plus_trajectory,2018,0.2045254190810898,0.23035069126234337
full_oisst_domain,current_plus_trajectory,2019,0.19377522828943322,0.22857731359919972
full_oisst_domain,current_plus_trajectory,2020,0.20492236873196137,0.23414542497217974
full_oisst_domain,current_plus_trajectory,2021,0.20076982748481553,0.22997423126050598
full_oisst_domain,current_plus_trajectory,2022,0.2001327445780415,0.2260415043483781
full_oisst_domain,current_plus_trajectory,2023,0.2004893477276167,0.22237150080236665
full_oisst_domain,current_plus_trajectory,2024,0.2070269868671026,0.22698519757009042
full_oisst_domain,trajectory_plus_oisst,2005,0.177720116104482,0.2251779420172364
full_oisst_domain,trajectory_plus_oisst,2006,0.17701104023818331,0.21752612616110098
full_oisst_domain,trajectory_plus_oisst,2007,0.17489729976454382,0.2291298015543377
full_oisst_domain,trajectory_plus_oisst,2008,0.17548259377057945,0.2260598126503516
full_oisst_domain,trajectory_plus_oisst,2009,0.18565129581173265,0.2351634884467647
full_oisst_domain,trajectory_plus_oisst,2010,0.18103656304316307,0.21969871958119308
full_oisst_domain,trajectory_plus_oisst,2011,0.17513447057938386,0.22977796232632625
full_oisst_domain,trajectory_plus_oisst,2012,0.17243491407110234,0.23026992350176118
full_oisst_domain,trajectory_plus_oisst,2013,0.18500523588659867,0.23103118782471746
full_oisst_domain,trajectory_plus_oisst,2014,0.18061488765507797,0.22785624997297324
full_oisst_domain,trajectory_plus_oisst,2015,0.17207064106098446,0.23051839213433994
full_oisst_domain,trajectory_plus_oisst,2016,0.1741443087589108,0.22692130375897362
