domain,model,scenario,n,events,pooled_ap,macro_year_ap_lift,macro_region_year_ap_lift,top20_recall_micro
full_oisst_domain,current_only,all_years,2614,1008,0.5649939433284785,0.17653421471286107,0.22316997095875926,0.32043650793650796
full_oisst_domain,current_only,exclude_2022,2504,934,0.55810158703208,0.17675288291320318,0.22086953346778887,0.32441113490364026
full_oisst_domain,current_plus_trajectory,all_years,2614,1008,0.5706615552424545,0.20042407543393503,0.22775359327875916,0.32341269841269843
full_oisst_domain,current_plus_trajectory,exclude_2022,2504,934,0.5605510951113042,0.2001327445780415,0.2260415043483781,0.32762312633832974
full_oisst_domain,trajectory_plus_oisst,all_years,2614,1008,0.5438218378494796,0.17791956075515838,0.22823118122644218,0.30456349206349204
full_oisst_domain,trajectory_plus_oisst,exclude_2022,2504,934,0.5387251609426151,0.17956615817561059,0.2273031439909365,0.3094218415417559
upwelling_supported_domain,current_only,all_years,1698,661,0.554725514764697,0.15937485855075334,0.19245137657683534,0.28895612708018154
upwelling_supported_domain,current_only,exclude_2022,1621,600,0.5422405271575674,0.162713165153434,0.19212243930284978,0.295
upwelling_supported_domain,current_plus_trajectory,all_years,1698,661,0.5475137610488563,0.17080012251051221,0.1843926514348461,0.2874432677760968
upwelling_supported_domain,current_plus_trajectory,exclude_2022,1621,600,0.5344895495824962,0.1748794772129279,0.18369029177975274,0.29333333333333333
upwelling_supported_domain,trajectory_plus_oisst,all_years,1698,661,0.5203225519631101,0.16212066752832938,0.1944631221571305,0.27987897125567324
upwelling_supported_domain,trajectory_plus_oisst,exclude_2022,1621,600,0.5122108276199798,0.16700439539919965,0.1945336470776056,0.285
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,all_years,1698,661,0.508248402002189,0.15903521639198726,0.20711227923767883,0.2783661119515885
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,exclude_2022,1621,600,0.4913660593275757,0.1621593883472881,0.20788216946639257,0.2816666666666667
