target,evaluation_subset,current_canopy_threshold,feature_set,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,pr_auc,roc_auc,accuracy,true_negatives,false_positives,false_negatives,true_positives
new_decline_event_next,full_sample,,canopy_only,Logistic Regression,test,200,26,0.13,0.375,0.46153846153846156,0.41379310344827586,0.3879792053944747,0.8034924845269673,0.83,154,20,14,12
new_decline_event_next,full_sample,,canopy_only,SVM,test,200,26,0.13,0.0,0.0,0.0,0.3336820496010614,0.8141025641025641,0.87,174,0,26,0
new_decline_event_next,full_sample,,canopy_only,Random Forest,test,200,26,0.13,0.3548387096774194,0.4230769230769231,0.38596491228070173,0.40092185705894273,0.8048187444739169,0.825,154,20,15,11
new_decline_event_next,full_sample,,canopy_only,XGBoost,test,200,26,0.13,0.29411764705882354,0.5769230769230769,0.38961038961038963,0.3426873407394054,0.7822723253757736,0.765,138,36,11,15
new_decline_event_next,full_sample,,canopy_only,LightGBM,test,200,26,0.13,0.2857142857142857,0.38461538461538464,0.32786885245901637,0.311031975318618,0.7701149425287356,0.795,149,25,16,10
new_decline_event_next,full_sample,,oisst_only,Logistic Regression,test,200,26,0.13,0.13725490196078433,0.2692307692307692,0.18181818181818182,0.14848136933183123,0.5562555260831122,0.685,130,44,19,7
new_decline_event_next,full_sample,,oisst_only,SVM,test,200,26,0.13,0.0,0.0,0.0,0.09213059468439325,0.28724580017683465,0.87,174,0,26,0
new_decline_event_next,full_sample,,oisst_only,Random Forest,test,200,26,0.13,0.0,0.0,0.0,0.09716392703358323,0.33609637488947836,0.705,141,33,26,0
new_decline_event_next,full_sample,,oisst_only,XGBoost,test,200,26,0.13,0.047058823529411764,0.15384615384615385,0.07207207207207207,0.0874953540513504,0.250552608311229,0.485,93,81,22,4
new_decline_event_next,full_sample,,oisst_only,LightGBM,test,200,26,0.13,0.05263157894736842,0.11538461538461539,0.07228915662650602,0.10259333832620024,0.3710212201591512,0.615,120,54,23,3
new_decline_event_next,full_sample,,canopy_noaa,Logistic Regression,test,200,26,0.13,0.14285714285714285,0.2692307692307692,0.18666666666666668,0.18037226181830443,0.6363837312113174,0.695,132,42,19,7
new_decline_event_next,full_sample,,canopy_noaa,SVM,test,200,26,0.13,1.0,0.07692307692307693,0.14285714285714285,0.2762759941536712,0.7046861184792219,0.88,174,0,24,2
new_decline_event_next,full_sample,,canopy_noaa,Random Forest,test,200,26,0.13,0.0,0.0,0.0,0.20356728617167474,0.6542882404951371,0.86,172,2,26,0
new_decline_event_next,full_sample,,canopy_noaa,XGBoost,test,200,26,0.13,0.058823529411764705,0.038461538461538464,0.046511627906976744,0.18280890089843457,0.6808134394341291,0.795,158,16,25,1
new_decline_event_next,full_sample,,canopy_noaa,LightGBM,test,200,26,0.13,0.11764705882352941,0.07692307692307693,0.09302325581395349,0.2182325434564763,0.7220380194518126,0.805,159,15,24,2
new_decline_event_next,current_canopy_gt_0,0.0,canopy_only,Logistic Regression,test,199,26,0.1306532663316583,0.36363636363636365,0.46153846153846156,0.4067796610169492,0.38972612210678864,0.8041351711871944,0.8241206030150754,152,21,14,12
new_decline_event_next,current_canopy_gt_0,0.0,canopy_only,SVM,test,199,26,0.1306532663316583,0.0,0.0,0.0,0.33400223370387283,0.8134726545131169,0.8693467336683417,173,0,26,0
new_decline_event_next,current_canopy_gt_0,0.0,canopy_only,Random Forest,test,199,26,0.1306532663316583,0.3225806451612903,0.38461538461538464,0.3508771929824561,0.37775915379493513,0.8079146287238773,0.8140703517587939,152,21,16,10
new_decline_event_next,current_canopy_gt_0,0.0,canopy_only,XGBoost,test,199,26,0.1306532663316583,0.32558139534883723,0.5384615384615384,0.4057971014492754,0.3310516566856128,0.7814584259670965,0.7939698492462312,144,29,12,14
new_decline_event_next,current_canopy_gt_0,0.0,canopy_only,LightGBM,test,199,26,0.1306532663316583,0.29411764705882354,0.38461538461538464,0.3333333333333333,0.291969142397778,0.7727879057358826,0.7989949748743719,149,24,16,10
new_decline_event_next,current_canopy_gt_0,0.0,oisst_only,Logistic Regression,test,199,26,0.1306532663316583,0.09803921568627451,0.19230769230769232,0.12987012987012986,0.1452162804634857,0.5465762561138283,0.6633165829145728,127,46,21,5
new_decline_event_next,current_canopy_gt_0,0.0,oisst_only,SVM,test,199,26,0.1306532663316583,0.0,0.0,0.0,0.09256300625874998,0.28712761227212097,0.8693467336683417,173,0,26,0
new_decline_event_next,current_canopy_gt_0,0.0,oisst_only,Random Forest,test,199,26,0.1306532663316583,0.0,0.0,0.0,0.10064187212223966,0.3536016007114273,0.6582914572864321,131,42,26,0
new_decline_event_next,current_canopy_gt_0,0.0,oisst_only,XGBoost,test,199,26,0.1306532663316583,0.05714285714285714,0.15384615384615385,0.08333333333333333,0.09324006306030219,0.30202312138728327,0.5577889447236181,107,66,22,4
new_decline_event_next,current_canopy_gt_0,0.0,oisst_only,LightGBM,test,199,26,0.1306532663316583,0.06521739130434782,0.11538461538461539,0.08333333333333333,0.1066069493676917,0.36738550466874165,0.6683417085427136,130,43,23,3
new_decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,Logistic Regression,test,199,26,0.1306532663316583,0.14285714285714285,0.2692307692307692,0.18666666666666668,0.18132318097132352,0.6369497554468653,0.6934673366834171,131,42,19,7
new_decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,SVM,test,199,26,0.1306532663316583,1.0,0.07692307692307693,0.14285714285714285,0.27769807584703665,0.7065362383281458,0.8793969849246231,173,0,24,2
new_decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,Random Forest,test,199,26,0.1306532663316583,0.0,0.0,0.0,0.2222114624331853,0.681191640729213,0.8592964824120602,171,2,26,0
new_decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,XGBoost,test,199,26,0.1306532663316583,0.125,0.07692307692307693,0.09523809523809523,0.2188750160676967,0.717207647843486,0.8090452261306532,159,14,24,2
new_decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,LightGBM,test,199,26,0.1306532663316583,0.17647058823529413,0.11538461538461539,0.13953488372093023,0.24323976672243722,0.753779457536683,0.8140703517587939,159,14,23,3
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,Logistic Regression,test,138,25,0.18115942028985507,0.4230769230769231,0.44,0.43137254901960786,0.4074937067270421,0.7582300884955752,0.7898550724637681,98,15,14,11
