target,evaluation_subset,current_canopy_threshold,feature_set,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,pr_auc,roc_auc,accuracy,true_negatives,false_positives,false_negatives,true_positives
decline_event_next,full_sample,,canopy_only,Logistic Regression,test,200,134,0.67,0.6993464052287581,0.7985074626865671,0.7456445993031359,0.8134724490243929,0.6863410221619177,0.635,20,46,27,107
decline_event_next,full_sample,,canopy_only,SVM,test,200,134,0.67,0.0,0.0,0.0,0.8866272808552881,0.7606286748077793,0.33,66,0,134,0
decline_event_next,full_sample,,canopy_only,Random Forest,test,200,134,0.67,0.9080459770114943,0.5895522388059702,0.7149321266968326,0.8973625711126626,0.7907055630936227,0.685,58,8,55,79
decline_event_next,full_sample,,canopy_only,XGBoost,test,200,134,0.67,0.8681318681318682,0.5895522388059702,0.7022222222222222,0.8726195325249292,0.7420850293984622,0.665,54,12,55,79
decline_event_next,full_sample,,canopy_only,LightGBM,test,200,134,0.67,0.8586956521739131,0.5895522388059702,0.6991150442477876,0.8834960300128065,0.7721619176843059,0.66,53,13,55,79
decline_event_next,full_sample,,oisst_only,Logistic Regression,test,200,134,0.67,0.7142857142857143,0.26119402985074625,0.3825136612021858,0.7141019005558481,0.5197874265038445,0.435,52,14,99,35
decline_event_next,full_sample,,oisst_only,SVM,test,200,134,0.67,0.9285714285714286,0.09701492537313433,0.17567567567567569,0.741226328515396,0.5102894617819991,0.39,65,1,121,13
decline_event_next,full_sample,,oisst_only,Random Forest,test,200,134,0.67,0.7090909090909091,0.291044776119403,0.4126984126984127,0.7043859037607086,0.5076888285843509,0.445,50,16,95,39
decline_event_next,full_sample,,oisst_only,XGBoost,test,200,134,0.67,0.7228915662650602,0.44776119402985076,0.5529953917050692,0.7182896444345532,0.5091587516960651,0.515,43,23,74,60
decline_event_next,full_sample,,oisst_only,LightGBM,test,200,134,0.67,0.6825396825396826,0.3208955223880597,0.4365482233502538,0.6735824616294275,0.4562415196743555,0.445,46,20,91,43
decline_event_next,full_sample,,canopy_noaa,Logistic Regression,test,200,134,0.67,0.7636363636363637,0.6268656716417911,0.6885245901639344,0.7823845480849092,0.6296924468566261,0.62,40,26,50,84
decline_event_next,full_sample,,canopy_noaa,SVM,test,200,134,0.67,0.868421052631579,0.2462686567164179,0.38372093023255816,0.8459373329066522,0.714947987336047,0.47,61,5,101,33
decline_event_next,full_sample,,canopy_noaa,Random Forest,test,200,134,0.67,0.925,0.27611940298507465,0.42528735632183906,0.8306530758016963,0.674468566259611,0.5,63,3,97,37
decline_event_next,full_sample,,canopy_noaa,XGBoost,test,200,134,0.67,0.875,0.5223880597014925,0.6542056074766355,0.8218494005035681,0.6640660334690185,0.63,56,10,64,70
decline_event_next,full_sample,,canopy_noaa,LightGBM,test,200,134,0.67,0.8947368421052632,0.3805970149253731,0.5340314136125655,0.8155294953487338,0.6534373586612392,0.555,60,6,83,51
decline_event_next,current_canopy_gt_0,0.0,canopy_only,Logistic Regression,test,199,133,0.6683417085427136,0.6973684210526315,0.7969924812030075,0.743859649122807,0.8063943929829341,0.6747550694919117,0.6331658291457286,20,46,27,106
decline_event_next,current_canopy_gt_0,0.0,canopy_only,SVM,test,199,133,0.6683417085427136,0.0,0.0,0.0,0.8843067727600031,0.7590567327409432,0.3316582914572864,66,0,133,0
decline_event_next,current_canopy_gt_0,0.0,canopy_only,Random Forest,test,199,133,0.6683417085427136,0.896551724137931,0.5864661654135338,0.7090909090909091,0.8967448506910691,0.787423103212577,0.678391959798995,57,9,55,78
decline_event_next,current_canopy_gt_0,0.0,canopy_only,XGBoost,test,199,133,0.6683417085427136,0.8571428571428571,0.5864661654135338,0.6964285714285714,0.8711495248966878,0.7496012759170654,0.6582914572864321,53,13,55,78
decline_event_next,current_canopy_gt_0,0.0,canopy_only,LightGBM,test,199,133,0.6683417085427136,0.8620689655172413,0.5639097744360902,0.6818181818181818,0.8772197373048112,0.7549555707450444,0.6482412060301508,54,12,58,75
decline_event_next,current_canopy_gt_0,0.0,oisst_only,Logistic Regression,test,199,133,0.6683417085427136,0.7142857142857143,0.2631578947368421,0.38461538461538464,0.7071825777065888,0.5159489633173844,0.4371859296482412,52,14,98,35
decline_event_next,current_canopy_gt_0,0.0,oisst_only,SVM,test,199,133,0.6683417085427136,0.9230769230769231,0.09022556390977443,0.1643835616438356,0.7378275034680273,0.5089997721576669,0.3869346733668342,65,1,121,12
decline_event_next,current_canopy_gt_0,0.0,oisst_only,Random Forest,test,199,133,0.6683417085427136,0.7241379310344828,0.3157894736842105,0.4397905759162304,0.6752790581344632,0.48086124401913877,0.4623115577889447,50,16,91,42
decline_event_next,current_canopy_gt_0,0.0,oisst_only,XGBoost,test,199,133,0.6683417085427136,0.7162162162162162,0.39849624060150374,0.5120772946859904,0.7167109401575573,0.5298473456368193,0.49246231155778897,45,21,80,53
decline_event_next,current_canopy_gt_0,0.0,oisst_only,LightGBM,test,199,133,0.6683417085427136,0.7540983606557377,0.3458646616541353,0.4742268041237113,0.690984144511249,0.4898610161768056,0.48743718592964824,51,15,87,46
decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,Logistic Regression,test,199,133,0.6683417085427136,0.7685185185185185,0.6240601503759399,0.6887966804979253,0.7801804970504194,0.6291866028708134,0.6231155778894473,41,25,50,83
