feature,cells,mean_cached_3x3_grid_count,mean_abs_difference,mean_difference,max_abs_difference,median_correlation
annual_hot_days_p90,50,4.16,2.649473684210526,0.27789473684210525,20.0,0.996663915877275
annual_hot_days_p95,50,4.16,1.9078947368421053,0.29105263157894734,19.0,0.9974690434291731
annual_mean_sst,50,4.16,0.07097715591017076,-0.0020472623534291256,0.3985382468322598,0.9987681083705866
annual_sst_anomaly,50,4.16,0.026406323040221818,0.00024337903952209927,0.1883234216270484,0.9987681083705865
lag1_sst_anomaly,50,4.16,0.025607764812828157,-8.81192775979132e-05,0.1883234216270484,0.9988549091767829
