year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
1988,pre_modeling,upper_mid_p50_p75,upper_mid_p50_p75,9,17,0.529412,0.180000
1989,train,high_above_p75,high_above_p75,14,17,0.823529,0.280000
1989,train,high_above_p75,upper_mid_p50_p75,3,17,0.176471,0.060000
1989,train,low_below_p25,high_above_p75,1,2,0.500000,0.020000
1989,train,low_below_p25,lower_mid_p25_p50,1,2,0.500000,0.020000
1989,train,lower_mid_p25_p50,high_above_p75,3,10,0.300000,0.060000
1989,train,lower_mid_p25_p50,low_below_p25,1,10,0.100000,0.020000
1989,train,lower_mid_p25_p50,upper_mid_p50_p75,6,10,0.600000,0.120000
1989,train,upper_mid_p50_p75,high_above_p75,18,21,0.857143,0.360000
1989,train,upper_mid_p50_p75,lower_mid_p25_p50,1,21,0.047619,0.020000
1989,train,upper_mid_p50_p75,upper_mid_p50_p75,2,21,0.095238,0.040000
1990,train,high_above_p75,high_above_p75,15,36,0.416667,0.300000
1990,train,high_above_p75,low_below_p25,6,36,0.166667,0.120000
1990,train,high_above_p75,lower_mid_p25_p50,6,36,0.166667,0.120000
1990,train,high_above_p75,upper_mid_p50_p75,9,36,0.250000,0.180000
1990,train,low_below_p25,upper_mid_p50_p75,1,1,1.000000,0.020000
1990,train,lower_mid_p25_p50,low_below_p25,2,2,1.000000,0.040000
1990,train,upper_mid_p50_p75,high_above_p75,2,11,0.181818,0.040000
1990,train,upper_mid_p50_p75,low_below_p25,7,11,0.636364,0.140000
1990,train,upper_mid_p50_p75,lower_mid_p25_p50,1,11,0.090909,0.020000
1990,train,upper_mid_p50_p75,upper_mid_p50_p75,1,11,0.090909,0.020000
1991,train,high_above_p75,high_above_p75,9,17,0.529412,0.180000
1991,train,high_above_p75,lower_mid_p25_p50,6,17,0.352941,0.120000
1991,train,high_above_p75,upper_mid_p50_p75,2,17,0.117647,0.040000
1991,train,low_below_p25,high_above_p75,3,15,0.200000,0.060000
1991,train,low_below_p25,low_below_p25,3,15,0.200000,0.060000
1991,train,low_below_p25,lower_mid_p25_p50,3,15,0.200000,0.060000
1991,train,low_below_p25,upper_mid_p50_p75,6,15,0.400000,0.120000
1991,train,lower_mid_p25_p50,low_below_p25,3,7,0.428571,0.060000
1991,train,lower_mid_p25_p50,lower_mid_p25_p50,4,7,0.571429,0.080000
1991,train,upper_mid_p50_p75,high_above_p75,2,11,0.181818,0.040000
1991,train,upper_mid_p50_p75,low_below_p25,3,11,0.272727,0.060000
1991,train,upper_mid_p50_p75,lower_mid_p25_p50,3,11,0.272727,0.060000
1991,train,upper_mid_p50_p75,upper_mid_p50_p75,3,11,0.272727,0.060000
1992,train,high_above_p75,high_above_p75,2,14,0.142857,0.040000
1992,train,high_above_p75,low_below_p25,5,14,0.357143,0.100000
1992,train,high_above_p75,lower_mid_p25_p50,4,14,0.285714,0.080000
1992,train,high_above_p75,upper_mid_p50_p75,3,14,0.214286,0.060000
1992,train,low_below_p25,high_above_p75,4,9,0.444444,0.080000
1992,train,low_below_p25,low_below_p25,1,9,0.111111,0.020000
1992,train,low_below_p25,lower_mid_p25_p50,2,9,0.222222,0.040000
1992,train,low_below_p25,upper_mid_p50_p75,2,9,0.222222,0.040000
