label_target,feature_set,model,split,evaluation_type,year,budget_type,budget_value,k_selected,n_candidates,n_positive,base_prevalence,hits,false_alerts,missed_declines,precision_at_k,recall_at_k,false_discovery_rate_at_k,lift_at_k,expected_random_hits,enrichment_over_random
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,38,12,96,0.76,0.2835820895522388,0.24,1.1343283582089552,33.5,1.1343283582089552
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,76,24,58,0.76,0.5671641791044776,0.24,1.1343283582089552,67.0,1.1343283582089552
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,percent,0.1,20,200,134,0.67,19,1,115,0.95,0.1417910447761194,0.05,1.417910447761194,13.4,1.417910447761194
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,percent,0.2,40,200,134,0.67,29,11,105,0.725,0.21641791044776118,0.275,1.0820895522388059,26.8,1.0820895522388059
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,percent,0.3,60,200,134,0.67,44,16,90,0.7333333333333333,0.3283582089552239,0.26666666666666666,1.0945273631840795,40.2,1.0945273631840795
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,percent,0.4,80,200,134,0.67,61,19,73,0.7625,0.4552238805970149,0.2375,1.138059701492537,53.6,1.1380597014925373
decline_event_next,canopy_noaa,Logistic Regression,test,pooled_topk,,percent,0.5,100,200,134,0.67,76,24,58,0.76,0.5671641791044776,0.24,1.1343283582089552,67.0,1.1343283582089552
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,9,1,125,0.9,0.06716417910447761,0.1,1.3432835820895521,6.7,1.3432835820895521
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,18,2,116,0.9,0.13432835820895522,0.1,1.3432835820895521,13.4,1.3432835820895521
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,47,3,87,0.94,0.35074626865671643,0.06,1.4029850746268655,33.5,1.4029850746268657
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,81,19,53,0.81,0.6044776119402985,0.19,1.208955223880597,67.0,1.208955223880597
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,percent,0.1,20,200,134,0.67,18,2,116,0.9,0.13432835820895522,0.1,1.3432835820895521,13.4,1.3432835820895521
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,percent,0.2,40,200,134,0.67,37,3,97,0.925,0.27611940298507465,0.075,1.380597014925373,26.8,1.380597014925373
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,percent,0.3,60,200,134,0.67,56,4,78,0.9333333333333333,0.417910447761194,0.06666666666666667,1.3930348258706466,40.2,1.3930348258706466
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,percent,0.4,80,200,134,0.67,70,10,64,0.875,0.5223880597014925,0.125,1.3059701492537312,53.6,1.3059701492537312
decline_event_next,canopy_noaa,Random Forest,test,pooled_topk,,percent,0.5,100,200,134,0.67,81,19,53,0.81,0.6044776119402985,0.19,1.208955223880597,67.0,1.208955223880597
