label_target,feature_set,model,split,threshold,n_obs,n_positive,n_negative,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,f1,f2,alerts,alerts_per_100_cell_years,false_alerts_per_100_cell_years,missed_declines_per_100_true_declines
decline_event_next,canopy_noaa,LightGBM,test,0.0,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,LightGBM,test,0.01,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,LightGBM,test,0.02,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,LightGBM,test,0.03,200,134,66,132,66,0,2,0.6666666666666666,0.9850746268656716,0.0,1.0,0.7951807228915662,0.8991825613079019,198,99.0,33.0,1.4925373134328357
decline_event_next,canopy_noaa,LightGBM,test,0.04,200,134,66,127,65,1,7,0.6614583333333334,0.9477611940298507,0.015151515151515152,0.9848484848484849,0.7791411042944785,0.8722527472527473,192,96.0,32.5,5.223880597014925
decline_event_next,canopy_noaa,LightGBM,test,0.05,200,134,66,127,64,2,7,0.6649214659685864,0.9477611940298507,0.030303030303030304,0.9696969696969697,0.7815384615384615,0.8734525447042641,191,95.5,32.0,5.223880597014925
decline_event_next,canopy_noaa,LightGBM,test,0.06,200,134,66,125,62,4,9,0.6684491978609626,0.9328358208955224,0.06060606060606061,0.9393939393939394,0.778816199376947,0.8644536652835407,187,93.5,31.0,6.7164179104477615
decline_event_next,canopy_noaa,LightGBM,test,0.07,200,134,66,122,61,5,12,0.6666666666666666,0.9104477611940298,0.07575757575757576,0.9242424242424242,0.7697160883280756,0.8484005563282336,183,91.5,30.5,8.955223880597014
decline_event_next,canopy_noaa,LightGBM,test,0.08,200,134,66,116,59,7,18,0.6628571428571428,0.8656716417910447,0.10606060606060606,0.8939393939393939,0.7508090614886731,0.8157524613220816,175,87.5,29.5,13.432835820895523
decline_event_next,canopy_noaa,LightGBM,test,0.09,200,134,66,113,54,12,21,0.6766467065868264,0.8432835820895522,0.18181818181818182,0.8181818181818182,0.7508305647840532,0.8036984352773827,167,83.5,27.0,15.671641791044777
decline_event_next,canopy_noaa,LightGBM,test,0.1,200,134,66,108,53,13,26,0.6708074534161491,0.8059701492537313,0.19696969696969696,0.803030303030303,0.7322033898305085,0.7747489239598278,161,80.5,26.5,19.402985074626866
decline_event_next,canopy_noaa,LightGBM,test,0.11,200,134,66,105,49,17,29,0.6818181818181818,0.7835820895522388,0.25757575757575757,0.7424242424242424,0.7291666666666666,0.7608695652173912,154,77.0,24.5,21.641791044776117
decline_event_next,canopy_noaa,LightGBM,test,0.12,200,134,66,103,46,20,31,0.6912751677852349,0.7686567164179104,0.30303030303030304,0.696969696969697,0.7279151943462897,0.7518248175182481,149,74.5,23.0,23.134328358208954
decline_event_next,canopy_noaa,LightGBM,test,0.13,200,134,66,103,43,23,31,0.7054794520547946,0.7686567164179104,0.3484848484848485,0.6515151515151515,0.7357142857142858,0.7551319648093843,146,73.0,21.5,23.134328358208954
decline_event_next,canopy_noaa,LightGBM,test,0.14,200,134,66,101,42,24,33,0.7062937062937062,0.753731343283582,0.36363636363636365,0.6363636363636364,0.7292418772563176,0.743740795287187,143,71.5,21.0,24.62686567164179
decline_event_next,canopy_noaa,LightGBM,test,0.15,200,134,66,99,40,26,35,0.7122302158273381,0.7388059701492538,0.3939393939393939,0.6060606060606061,0.7252747252747254,0.7333333333333334,139,69.5,20.0,26.119402985074625
decline_event_next,canopy_noaa,LightGBM,test,0.16,200,134,66,98,37,29,36,0.725925925925926,0.7313432835820896,0.4393939393939394,0.5606060606060606,0.7286245353159853,0.7302533532041728,135,67.5,18.5,26.865671641791046
decline_event_next,canopy_noaa,LightGBM,test,0.17,200,134,66,98,34,32,36,0.7424242424242424,0.7313432835820896,0.48484848484848486,0.5151515151515151,0.736842105263158,0.7335329341317365,132,66.0,17.0,26.865671641791046
decline_event_next,canopy_noaa,LightGBM,test,0.18,200,134,66,97,33,33,37,0.7461538461538462,0.7238805970149254,0.5,0.5,0.7348484848484849,0.7282282282282283,130,65.0,16.5,27.611940298507463
decline_event_next,canopy_noaa,LightGBM,test,0.19,200,134,66,97,32,34,37,0.751937984496124,0.7238805970149254,0.5151515151515151,0.48484848484848486,0.7376425855513309,0.7293233082706767,129,64.5,16.0,27.611940298507463
decline_event_next,canopy_noaa,LightGBM,test,0.2,200,134,66,94,31,35,40,0.752,0.7014925373134329,0.5303030303030303,0.4696969696969697,0.7258687258687259,0.7110438729198184,125,62.5,15.5,29.850746268656714
decline_event_next,canopy_noaa,LightGBM,test,0.21,200,134,66,93,31,35,41,0.75,0.6940298507462687,0.5303030303030303,0.4696969696969697,0.7209302325581396,0.7045454545454546,124,62.0,15.5,30.597014925373134
decline_event_next,canopy_noaa,LightGBM,test,0.22,200,134,66,90,28,38,44,0.7627118644067796,0.6716417910447762,0.5757575757575758,0.42424242424242425,0.7142857142857143,0.6880733944954128,118,59.0,14.000000000000002,32.83582089552239
decline_event_next,canopy_noaa,LightGBM,test,0.23,200,134,66,89,27,39,45,0.7672413793103449,0.664179104477612,0.5909090909090909,0.4090909090909091,0.7120000000000001,0.6825153374233128,116,57.99999999999999,13.5,33.582089552238806
decline_event_next,canopy_noaa,LightGBM,test,0.24,200,134,66,87,24,42,47,0.7837837837837838,0.6492537313432836,0.6363636363636364,0.36363636363636365,0.710204081632653,0.6723338485316847,111,55.50000000000001,12.0,35.07462686567165
decline_event_next,canopy_noaa,LightGBM,test,0.25,200,134,66,85,22,44,49,0.794392523364486,0.6343283582089553,0.6666666666666666,0.3333333333333333,0.7053941908713693,0.6609642301710732,107,53.5,11.0,36.56716417910448
decline_event_next,canopy_noaa,LightGBM,test,0.26,200,134,66,83,21,45,51,0.7980769230769231,0.6194029850746269,0.6818181818181818,0.3181818181818182,0.6974789915966386,0.6484375,104,52.0,10.5,38.059701492537314
decline_event_next,canopy_noaa,LightGBM,test,0.27,200,134,66,82,21,45,52,0.7961165048543689,0.6119402985074627,0.6818181818181818,0.3181818181818182,0.6919831223628692,0.6416275430359938,103,51.5,10.5,38.80597014925373
decline_event_next,canopy_noaa,LightGBM,test,0.28,200,134,66,80,19,47,54,0.8080808080808081,0.5970149253731343,0.7121212121212122,0.2878787878787879,0.6866952789699571,0.6299212598425198,99,49.5,9.5,40.298507462686565
decline_event_next,canopy_noaa,LightGBM,test,0.29,200,134,66,78,19,47,56,0.8041237113402062,0.582089552238806,0.7121212121212122,0.2878787878787879,0.6753246753246754,0.6161137440758294,97,48.5,9.5,41.7910447761194
