support_m,feature_set,year,matched_rows,new_ap_lift,old_ap_lift
300,trajectory,2008,80,0.2242462362179648,0.15679568111600733
300,trajectory,2009,56,0.12781001806723263,0.12617796656150887
300,trajectory,2010,71,0.16929313843219262,0.2237072921299843
300,trajectory,2011,68,0.3569891176669913,0.3398495796068454
300,trajectory,2012,44,0.1964830740228537,0.09989455052413965
300,trajectory,2013,39,0.020808394975658007,0.0017747797216401962
300,trajectory,2014,43,0.1731015799057069,0.09641507621721951
300,trajectory,2015,37,0.3116815559806911,0.3202089848641571
300,trajectory,2016,37,0.029071961664748125,-0.025481513784234244
300,trajectory,2017,35,0.3033562271062271,0.14200026675833133
300,trajectory,2018,44,0.05768671163176564,-0.029213580915946724
300,trajectory,2019,30,0.020425777925777877,0.06607953238388026
300,trajectory,2020,36,0.27507819219641866,0.2893494468494468
300,trajectory,2021,21,0.6970238095238095,0.23084733893557424
300,trajectory_plus_field_state,2008,80,0.16577594286264008,0.06814661733118144
300,trajectory_plus_field_state,2009,56,0.11798257568566334,0.12004520359783521
300,trajectory_plus_field_state,2010,71,0.1962564962097707,0.24304790657249875
300,trajectory_plus_field_state,2011,68,0.24434148428747066,0.22151284350689177
300,trajectory_plus_field_state,2012,44,0.43712722462722464,0.05081767647557123
300,trajectory_plus_field_state,2013,39,0.007568702466069999,0.0026002997696902286
300,trajectory_plus_field_state,2014,43,0.20956525947997467,0.16808850930694835
300,trajectory_plus_field_state,2015,37,0.09016967771894274,-0.016918558047590293
300,trajectory_plus_field_state,2016,37,0.05935171513205584,-0.03226567318031226
300,trajectory_plus_field_state,2017,35,0.4654220779220779,0.4123934837092731
300,trajectory_plus_field_state,2018,44,0.07909306677423578,0.056737749671573856
300,trajectory_plus_field_state,2019,30,0.24360269360269365,0.17840590781767246
300,trajectory_plus_field_state,2020,36,0.25889532361034,0.15928317955266663
300,trajectory_plus_field_state,2021,21,0.2992424242424242,0.49334733893557425
300,trajectory_plus_full_regime,2008,80,0.15495082878551708,0.13047996828759778
300,trajectory_plus_full_regime,2009,56,0.17991584569158653,0.1251023629299468
300,trajectory_plus_full_regime,2010,71,0.21690409730525007,0.1795628359291217
300,trajectory_plus_full_regime,2011,68,0.3017253782902662,0.18341553704534702
300,trajectory_plus_full_regime,2012,44,0.08620314956990377,0.11827419066674705
300,trajectory_plus_full_regime,2013,39,0.019963546434681678,0.020912464618157545
300,trajectory_plus_full_regime,2014,43,0.07720995465886643,0.13136814815534387
300,trajectory_plus_full_regime,2015,37,0.17902887243658044,0.20436948898932022
300,trajectory_plus_full_regime,2016,37,0.01133721569999413,-0.08330765279646513
300,trajectory_plus_full_regime,2017,35,0.22636904761904764,0.25520566252766563
300,trajectory_plus_full_regime,2018,44,0.05569143473151428,0.08611046644209008
300,trajectory_plus_full_regime,2019,30,0.35972222222222233,0.30912359245692583
300,trajectory_plus_full_regime,2020,36,0.23942390452658618,0.056557786960600265
300,trajectory_plus_full_regime,2021,21,0.2136904761904762,0.31785714285714284
300,trajectory_plus_paper_environment,2008,80,0.11737326270784221,0.1447551333166714
300,trajectory_plus_paper_environment,2009,56,0.10831472372127976,0.08073589536963416
300,trajectory_plus_paper_environment,2010,71,0.20630837393747614,0.1487914806907621
300,trajectory_plus_paper_environment,2011,68,0.3475378106624672,0.17109000776421063
300,trajectory_plus_paper_environment,2012,44,0.06877498862792986,0.07946801632463402
300,trajectory_plus_paper_environment,2013,39,-0.0016457896569447295,0.00474230307464063
300,trajectory_plus_paper_environment,2014,43,0.0334166877534427,0.09498508040240611
300,trajectory_plus_paper_environment,2015,37,0.007198968928343652,0.12764152865572737
300,trajectory_plus_paper_environment,2016,37,0.0676200711398911,0.0543948133519877
