support_m,comparison,exclude_2021,leave_one_year_min,leave_one_year_max,all_leave_one_year_positive
300,field_state_minus_trajectory,0.021660215617092544,-0.02744944098950409,0.021660215617092544,False
300,paper_environment_minus_trajectory,-0.030421501802972768,-0.06136482805845066,-0.01244848228612553,False
300,paper_full_minus_trajectory,0.0036318748937470345,-0.03555345488735953,0.0036318748937470345,False
300,paper_full_minus_environment,0.0340533766967198,0.010580637581210353,0.0340533766967198,True
300,regime_minus_paper_full,-0.016984744505155226,-0.041078628387877715,-0.016984744505155226,False
1000,field_state_minus_trajectory,-0.0055666722009183964,-0.01970430472830708,0.0030294564105554987,False
1000,paper_environment_minus_trajectory,-0.020434957125197082,-0.07079335219513062,-0.020434957125197082,False
1000,paper_full_minus_trajectory,-0.009926173624182986,-0.05549219925412604,-0.009926173624182986,False
1000,paper_full_minus_environment,0.010508783501014097,0.0008800708601291196,0.018589324964808737,True
1000,regime_minus_paper_full,-0.021818489645164012,-0.05752745844917563,-0.021818489645164012,False
