support_m,feature_set,n,events,macro_within_year_ap_lift,ci_low,ci_high,brier,log_loss,calibration_intercept,calibration_slope
300,trajectory,648,293,0.22042305591466507,0.13680043348245416,0.3196547273884843,0.24179483127546478,0.7074605046610624,-0.020963100521506257,0.3729423204307221
300,trajectory_plus_field_state,648,293,0.2121231571818664,0.1492358235142915,0.27975777628908727,0.24009650273218935,0.6848857383669049,-0.02020653910934457,0.4855038585445256
300,trajectory_plus_full_regime,648,293,0.17350015318026224,0.11836928765458703,0.2295986089135719,0.2561599295585489,0.835663995413397,-0.11195236272982974,0.1853881411733241
300,trajectory_plus_paper_environment,648,293,0.1871149947166666,0.10083269655496503,0.287985373598475,0.24971798566104372,0.7300581734156973,-0.018983639429324753,0.34693520975787395
300,trajectory_plus_paper_full,648,293,0.20881535244298574,0.1342421321408443,0.2900589664126398,0.25016869189117585,0.8087654924304704,-0.10733526636091982,0.21367622398442782
1000,trajectory,838,358,0.16586590426680134,0.06984023590974223,0.28205932280549495,0.25368105176463024,0.7418124749631304,-0.01452045138061169,0.31565363623756976
1000,trajectory_plus_field_state,838,358,0.1569715518651387,0.07946941488180541,0.25367542215551814,0.25205466500956725,0.7462623199908897,-0.05936966089672322,0.28555530843247834
1000,trajectory_plus_full_regime,838,358,0.08912356891749597,0.04887089549493559,0.134328848401194,0.26916501824052036,0.8245926496603327,-0.154702928984927,0.1506614537163763
1000,trajectory_plus_paper_environment,838,358,0.12461603609028178,0.050977555996800365,0.20229550527523585,0.26190174828792057,0.805778424933129,-0.14366662439518763,0.15820871519808935
1000,trajectory_plus_paper_full,838,358,0.13668365174466796,0.07310663145498601,0.20830616181598519,0.2654170725003132,0.8117419991095527,-0.15568344352410857,0.15784662564610558
