support_m,year,feature_set,train_start,train_end,n_train,events_train,n_test,events_test,chosen_C
1000,2012,trajectory_plus_field_state,2004,2011,622,209,66,21,0.05
1000,2012,trajectory_plus_paper_environment,2004,2011,622,209,66,21,0.2
1000,2012,trajectory_plus_paper_full,2004,2011,622,209,66,21,0.05
1000,2012,trajectory_plus_full_regime,2004,2011,622,209,66,21,0.05
1000,2013,trajectory,2004,2012,688,230,50,40,0.05
1000,2013,trajectory_plus_field_state,2004,2012,688,230,50,40,0.05
1000,2013,trajectory_plus_paper_environment,2004,2012,688,230,50,40,0.05
1000,2013,trajectory_plus_paper_full,2004,2012,688,230,50,40,0.05
1000,2013,trajectory_plus_full_regime,2004,2012,688,230,50,40,0.05
1000,2014,trajectory,2004,2013,738,270,54,20,0.05
1000,2014,trajectory_plus_field_state,2004,2013,738,270,54,20,1.0
1000,2014,trajectory_plus_paper_environment,2004,2013,738,270,54,20,1.0
1000,2014,trajectory_plus_paper_full,2004,2013,738,270,54,20,1.0
1000,2014,trajectory_plus_full_regime,2004,2013,738,270,54,20,1.0
1000,2015,trajectory,2004,2014,792,290,45,15,0.2
1000,2015,trajectory_plus_field_state,2004,2014,792,290,45,15,0.05
1000,2015,trajectory_plus_paper_environment,2004,2014,792,290,45,15,0.05
1000,2015,trajectory_plus_paper_full,2004,2014,792,290,45,15,1.0
1000,2015,trajectory_plus_full_regime,2004,2014,792,290,45,15,1.0
1000,2016,trajectory,2004,2015,837,305,46,21,0.2
1000,2016,trajectory_plus_field_state,2004,2015,837,305,46,21,0.05
1000,2016,trajectory_plus_paper_environment,2004,2015,837,305,46,21,0.05
1000,2016,trajectory_plus_paper_full,2004,2015,837,305,46,21,0.05
1000,2016,trajectory_plus_full_regime,2004,2015,837,305,46,21,0.05
1000,2017,trajectory,2004,2016,883,326,50,14,1.0
1000,2017,trajectory_plus_field_state,2004,2016,883,326,50,14,0.05
1000,2017,trajectory_plus_paper_environment,2004,2016,883,326,50,14,0.2
1000,2017,trajectory_plus_paper_full,2004,2016,883,326,50,14,1.0
1000,2017,trajectory_plus_full_regime,2004,2016,883,326,50,14,1.0
1000,2018,trajectory,2004,2017,933,340,56,51,1.0
1000,2018,trajectory_plus_field_state,2004,2017,933,340,56,51,1.0
1000,2018,trajectory_plus_paper_environment,2004,2017,933,340,56,51,0.2
1000,2018,trajectory_plus_paper_full,2004,2017,933,340,56,51,0.2
1000,2018,trajectory_plus_full_regime,2004,2017,933,340,56,51,0.2
1000,2019,trajectory,2004,2018,989,391,48,12,1.0
1000,2019,trajectory_plus_field_state,2004,2018,989,391,48,12,0.2
1000,2019,trajectory_plus_paper_environment,2004,2018,989,391,48,12,0.2
1000,2019,trajectory_plus_paper_full,2004,2018,989,391,48,12,0.2
1000,2019,trajectory_plus_full_regime,2004,2018,989,391,48,12,1.0
1000,2020,trajectory,2004,2019,1037,403,47,16,0.05
1000,2020,trajectory_plus_field_state,2004,2019,1037,403,47,16,1.0
1000,2020,trajectory_plus_paper_environment,2004,2019,1037,403,47,16,0.2
1000,2020,trajectory_plus_paper_full,2004,2019,1037,403,47,16,0.05
1000,2020,trajectory_plus_full_regime,2004,2019,1037,403,47,16,0.2
1000,2021,trajectory,2004,2020,1084,419,25,7,0.05
1000,2021,trajectory_plus_field_state,2004,2020,1084,419,25,7,1.0
1000,2021,trajectory_plus_paper_environment,2004,2020,1084,419,25,7,0.05
1000,2021,trajectory_plus_paper_full,2004,2020,1084,419,25,7,0.2
1000,2021,trajectory_plus_full_regime,2004,2020,1084,419,25,7,0.05
