evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
full_original,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,LightGBM,cost_sensitive,200,134,0.67,0.725,0.21641791044776118,0.3333333333333333,0.2517361111111111,0.6964880659251806,0.47659430122116686,11,105,29,55
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_only,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.4230769230769231,0.24444444444444444,0.30985915492957744,0.2669902912621359,0.5148403703510921,0.513425925925926,15,34,11,33
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_only,SVM,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.5280813601233608,0.48935185185185187,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_only,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.625,0.2222222222222222,0.32786885245901637,0.25510204081632654,0.5756957959123464,0.5791666666666666,6,35,10,42
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_only,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.36231884057971014,0.6253103557601726,0.5763888888888888,12,30,15,36
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_only,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.5862068965517241,0.37777777777777777,0.4594594594594595,0.40669856459330145,0.5997523805288729,0.6,12,28,17,36
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,environment_only,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.5319148936170213,0.5555555555555556,0.5434782608695652,0.5506607929515418,0.5542994453470951,0.5358796296296297,22,20,25,26
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,environment_only,SVM,cost_sensitive,93,45,0.4838709677419355,0.5,0.2,0.2857142857142857,0.22727272727272727,0.5575967256995282,0.5363425925925926,9,36,9,39
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,environment_only,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.40692382642989916,0.30995370370370373,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,environment_only,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.38461538461538464,0.1111111111111111,0.1724137931034483,0.12953367875647667,0.4418588659715723,0.36504629629629626,8,40,5,40
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,environment_only,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.6666666666666666,0.17777777777777778,0.2807017543859649,0.20833333333333334,0.5283330247027875,0.5303240740740741,4,37,8,44
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_environment,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.5853658536585366,0.5333333333333333,0.5581395348837209,0.5429864253393665,0.5677352236716849,0.5402777777777777,17,21,24,31
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_environment,SVM,cost_sensitive,93,45,0.4838709677419355,0.47368421052631576,0.2,0.28125,0.22613065326633167,0.5233835492275272,0.524537037037037,10,36,9,38
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_environment,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.47681358370551497,0.3685185185185186,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_environment,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.5,0.17777777777777778,0.26229508196721313,0.20408163265306123,0.4662352713673509,0.44351851851851853,8,37,8,40
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_environment,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.7142857142857143,0.1111111111111111,0.19230769230769232,0.13368983957219252,0.5243232837539287,0.5004629629629629,2,40,5,46
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_trajectory_only,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.45454545454545453,0.3333333333333333,0.38461538461538464,0.352112676056338,0.5430288620925516,0.49629629629629624,18,30,15,30
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_trajectory_only,SVM,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.47168377304989995,0.41712962962962963,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_trajectory_only,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.4,0.08888888888888889,0.14545454545454545,0.10526315789473684,0.4465831487285037,0.4476851851851852,6,41,4,42
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_trajectory_only,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.35714285714285715,0.2222222222222222,0.273972602739726,0.2403846153846154,0.4290396022664515,0.4064814814814815,18,35,10,30
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_trajectory_only,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.5,0.28888888888888886,0.36619718309859156,0.3155339805825243,0.4649157692510673,0.4662037037037037,13,32,13,35
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.41379310344827586,0.26666666666666666,0.32432432432432434,0.28708133971291866,0.5128567052550708,0.48935185185185187,17,33,12,31
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory,SVM,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.5133636127161799,0.5111111111111112,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.07936507936507936,0.5112372478573239,0.5662037037037037,6,42,3,42
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.4074074074074074,0.24444444444444444,0.3055555555555556,0.26570048309178745,0.4858237793448213,0.48287037037037034,16,34,11,32
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.4166666666666667,0.2222222222222222,0.2898550724637681,0.24509803921568626,0.5022895668246186,0.5462962962962963,14,35,10,34
