target,feature_set,model_family,model_variant,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,accuracy,false_positives,false_negatives,true_positives,true_negatives
decline_event_next,canopy_current_plus_trajectory,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,134,0.67,0.6329113924050633,0.373134328358209,0.4694835680751174,0.4065040650406504,0.6484652585350521,0.41270918136589774,0.435,29,84,50,37
decline_event_next,canopy_current_plus_trajectory,LightGBM,unweighted,LightGBM (unweighted),test,200,134,0.67,0.696969696969697,0.17164179104477612,0.2754491017964072,0.20210896309314588,0.6874144443124965,0.4833785617367707,0.395,10,111,23,56
decline_event_next,canopy_current_plus_trajectory,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,134,0.67,0.6545454545454545,0.26865671641791045,0.38095238095238093,0.30456852791878175,0.6458127791924175,0.4319312528267752,0.415,19,98,36,47
decline_event_next,environment_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,134,0.67,0.8676470588235294,0.44029850746268656,0.5841584158415841,0.48841059602649006,0.8124245256159479,0.6165196743554953,0.58,9,75,59,57
decline_event_next,environment_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,134,0.67,0.6666666666666666,0.6268656716417911,0.6461538461538462,0.6344410876132931,0.7832571011241156,0.598767526006332,0.54,42,50,84,24
decline_event_next,environment_only,SVM,unweighted,SVM (unweighted),test,200,134,0.67,0.9318181818181818,0.30597014925373134,0.4606741573033708,0.35344827586206895,0.8039601683998949,0.6580167345092718,0.52,3,93,41,63
decline_event_next,environment_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,134,0.67,0.5,0.08955223880597014,0.1518987341772152,0.10714285714285714,0.7278713504305259,0.6410560832202623,0.33,12,122,12,54
decline_event_next,environment_only,Random Forest,unweighted,Random Forest (unweighted),test,200,134,0.67,0.6666666666666666,0.04477611940298507,0.08391608391608392,0.05504587155963303,0.7585832695447985,0.5923224785165083,0.345,3,128,6,63
decline_event_next,environment_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,134,0.67,0.6666666666666666,0.04477611940298507,0.08391608391608392,0.05504587155963303,0.6977819411151741,0.5385572139303482,0.345,3,128,6,63
decline_event_next,environment_only,XGBoost,unweighted,XGBoost (unweighted),test,200,134,0.67,0.7058823529411765,0.1791044776119403,0.2857142857142857,0.21052631578947367,0.7514920774528686,0.6465400271370421,0.4,10,110,24,56
decline_event_next,environment_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,134,0.67,0.8076923076923077,0.31343283582089554,0.45161290322580644,0.35714285714285715,0.7569313786052866,0.6470488466757123,0.49,10,92,42,56
decline_event_next,environment_only,LightGBM,unweighted,LightGBM (unweighted),test,200,134,0.67,0.6363636363636364,0.1044776119402985,0.1794871794871795,0.12544802867383512,0.710217952810963,0.5708955223880596,0.36,8,120,14,58
decline_event_next,environment_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,134,0.67,0.7894736842105263,0.22388059701492538,0.3488372093023256,0.2613240418118467,0.6973986739118496,0.5115332428765265,0.44,8,104,30,58
decline_event_next,canopy_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,134,0.67,0.8356164383561644,0.4552238805970149,0.5893719806763285,0.5008210180623974,0.8298957636699715,0.6526458616010854,0.575,12,73,61,54
decline_event_next,canopy_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,134,0.67,0.6917293233082706,0.6865671641791045,0.6891385767790262,0.6875934230194319,0.8017616395445619,0.6287878787878787,0.585,41,42,92,25
decline_event_next,canopy_plus_environment,SVM,unweighted,SVM (unweighted),test,200,134,0.67,0.975,0.291044776119403,0.4482758620689655,0.3385416666666667,0.8212328506295751,0.6538896426956129,0.52,1,95,39,65
decline_event_next,canopy_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,134,0.67,0.72,0.13432835820895522,0.22641509433962265,0.16042780748663102,0.778701499395152,0.6472184531886024,0.385,7,116,18,59
decline_event_next,canopy_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,134,0.67,0.875,0.15671641791044777,0.26582278481012656,0.1875,0.8150800993587355,0.6477838082315693,0.42,3,113,21,63
decline_event_next,canopy_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,134,0.67,0.6666666666666666,0.04477611940298507,0.08391608391608392,0.05504587155963303,0.7818685740011313,0.6097919493441881,0.345,3,128,6,63
decline_event_next,canopy_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,134,0.67,0.7727272727272727,0.2537313432835821,0.38202247191011235,0.29310344827586204,0.783848590529574,0.6962912709181366,0.45,10,100,34,56
decline_event_next,canopy_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,134,0.67,0.8333333333333334,0.373134328358209,0.5154639175257731,0.41946308724832215,0.7954220052258505,0.7039800995024876,0.53,10,84,50,56
decline_event_next,canopy_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,134,0.67,0.7714285714285715,0.20149253731343283,0.31952662721893493,0.23642732049036777,0.778673338068325,0.6745816372682044,0.425,8,107,27,58
decline_event_next,canopy_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,134,0.67,0.8,0.26865671641791045,0.4022346368715084,0.3098106712564544,0.7871349818587792,0.6882632293080054,0.465,9,98,36,57
decline_event_next,canopy_plus_trajectory_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,134,0.67,0.746031746031746,0.35074626865671643,0.47715736040609136,0.39232053422370616,0.7333513789818996,0.5581184984170059,0.485,16,87,47,50
decline_event_next,canopy_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,134,0.67,0.6829268292682927,0.6268656716417911,0.6536964980544747,0.637329286798179,0.7213069687326359,0.5511080958842154,0.555,39,50,84,27
decline_event_next,canopy_plus_trajectory_plus_environment,SVM,unweighted,SVM (unweighted),test,200,134,0.67,0.9642857142857143,0.20149253731343283,0.3333333333333333,0.2393617021276596,0.8034423030308788,0.6429217548620534,0.46,1,107,27,65
decline_event_next,canopy_plus_trajectory_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,134,0.67,0.8636363636363636,0.1417910447761194,0.24358974358974358,0.17025089605734767,0.7996351905673693,0.6764473089099954,0.41,3,115,19,63
decline_event_next,canopy_plus_trajectory_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,134,0.67,0.7777777777777778,0.05223880597014925,0.0979020979020979,0.06422018348623854,0.7489150414043936,0.6039122568973315,0.355,2,127,7,64
decline_event_next,canopy_plus_trajectory_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,134,0.67,0.75,0.04477611940298507,0.08450704225352113,0.05514705882352941,0.6807466013626274,0.5254409769335142,0.35,2,128,6,64
decline_event_next,canopy_plus_trajectory_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,134,0.67,0.7419354838709677,0.17164179104477612,0.2787878787878788,0.20282186948853614,0.7603519063080435,0.6483491632745364,0.405,8,111,23,58
decline_event_next,canopy_plus_trajectory_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,134,0.67,0.7818181818181819,0.3208955223880597,0.455026455026455,0.3637901861252115,0.7498325665692843,0.6534373586612392,0.485,12,91,43,54
decline_event_next,canopy_plus_trajectory_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,134,0.67,0.5909090909090909,0.09701492537313433,0.16666666666666666,0.11648745519713262,0.6940254703418594,0.5633197648123021,0.35,9,121,13,57
decline_event_next,canopy_plus_trajectory_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,134,0.67,0.6333333333333333,0.1417910447761194,0.23170731707317074,0.16784452296819788,0.7033972972045279,0.5616236996834012,0.37,11,115,19,55
