target,feature_set,model_family,model_variant,model,selection_rule,threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),default_0.5,0.5,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8580309903843929,0.7494346449570332,0,134,0,66,0.0
decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_f1,0.3,,,False,0.6370370370370371,0.8349514563106796,0.7226890756302521,0.7861060329067642,0.7272727272727273,0.8955223880597015,0.802675585284281,0.8559201141226819,0.8580309903843929,0.7494346449570332,45,14,120,21,0.825
decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_f2,0.25,,,False,0.5372340425531915,0.9805825242718447,0.6941580756013745,0.8416666666666667,0.6683417085427136,0.9925373134328358,0.7987987987987988,0.9047619047619048,0.8580309903843929,0.7494346449570332,66,1,133,0,0.995
decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),recall_ge_0.70_then_max_f1,0.3,,,False,0.6370370370370371,0.8349514563106796,0.7226890756302521,0.7861060329067642,0.7272727272727273,0.8955223880597015,0.802675585284281,0.8559201141226819,0.8580309903843929,0.7494346449570332,45,14,120,21,0.825
decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_recall_precision_ge_0.65,0.35,0.65,0.65,False,0.8823529411764706,0.14563106796116504,0.25,0.17482517482517482,0.9130434782608695,0.15671641791044777,0.267515923566879,0.18783542039355994,0.8580309903843929,0.7494346449570332,2,113,21,64,0.115
decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),default_0.5,0.5,,,False,0.6363636363636364,0.8155339805825242,0.7148936170212766,0.7720588235294118,0.7317073170731707,0.8955223880597015,0.8053691275167785,0.8571428571428571,0.8573500909620518,0.7486431478968792,44,14,120,22,0.82
decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),max_f1,0.5,,,False,0.6363636363636364,0.8155339805825242,0.7148936170212766,0.7720588235294118,0.7317073170731707,0.8955223880597015,0.8053691275167785,0.8571428571428571,0.8573500909620518,0.7486431478968792,44,14,120,22,0.82
decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),max_f2,0.45,,,False,0.543010752688172,0.9805825242718447,0.698961937716263,0.8444816053511706,0.6700507614213198,0.9850746268656716,0.797583081570997,0.9004092769440655,0.8573500909620518,0.7486431478968792,65,2,132,1,0.985
decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),recall_ge_0.70_then_max_f1,0.5,,,False,0.6363636363636364,0.8155339805825242,0.7148936170212766,0.7720588235294118,0.7317073170731707,0.8955223880597015,0.8053691275167785,0.8571428571428571,0.8573500909620518,0.7486431478968792,44,14,120,22,0.82
decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),max_recall_precision_ge_0.65,0.55,0.65,0.65,False,0.8636363636363636,0.18446601941747573,0.304,0.21889400921658986,0.896551724137931,0.19402985074626866,0.31901840490797545,0.23008849557522124,0.8573500909620518,0.7486431478968792,3,108,26,63,0.145
