target,feature_set,model_family,model_variant,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,accuracy,false_positives,false_negatives,true_positives,true_negatives
actionable_decline_low_next,canopy_current_plus_trajectory,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.4,0.4444444444444444,0.42105263157894735,0.43478260869565216,0.45178252241692834,0.8129032258064517,0.725,30,25,20,125
actionable_decline_low_next,canopy_current_plus_trajectory,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.45454545454545453,0.1111111111111111,0.17857142857142858,0.13089005235602094,0.48222736928038834,0.8421505376344087,0.77,6,40,5,149
actionable_decline_low_next,canopy_current_plus_trajectory,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.4838709677419355,0.3333333333333333,0.39473684210526316,0.35545023696682465,0.4636293903400932,0.8412903225806452,0.77,16,30,15,139
actionable_decline_low_next,environment_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.23076923076923078,0.2,0.21428571428571427,0.2054794520547945,0.2663149788872774,0.6299641577060932,0.67,30,36,9,125
actionable_decline_low_next,environment_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.3007518796992481,0.8888888888888888,0.449438202247191,0.6389776357827476,0.26642783926250335,0.628673835125448,0.51,93,5,40,62
actionable_decline_low_next,environment_only,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.23051066858238847,0.5539784946236559,0.71,13,45,0,142
actionable_decline_low_next,environment_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.3322089117838926,0.6305376344086021,0.775,0,45,0,155
actionable_decline_low_next,environment_only,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.22300687786710066,0.45211469534050186,0.775,0,45,0,155
actionable_decline_low_next,environment_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.28790074903229207,0.5370609318996415,0.775,0,45,0,155
actionable_decline_low_next,environment_only,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.25066749143313405,0.5326881720430108,0.745,6,45,0,149
actionable_decline_low_next,environment_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.18181818181818182,0.08888888888888889,0.11940298507462686,0.09900990099009901,0.2619108716537911,0.5767025089605735,0.705,18,41,4,137
actionable_decline_low_next,environment_only,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.20581357295582847,0.47275985663082437,0.775,0,45,0,155
actionable_decline_low_next,environment_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.2110390674042254,0.48451612903225805,0.685,18,45,0,137
actionable_decline_low_next,canopy_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.375,0.06666666666666667,0.11320754716981132,0.0797872340425532,0.34274800394382116,0.6934767025089605,0.765,5,42,3,150
actionable_decline_low_next,canopy_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.32926829268292684,0.6,0.4251968503937008,0.5152671755725191,0.3727652783486291,0.7066666666666667,0.635,55,18,27,100
actionable_decline_low_next,canopy_plus_environment,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.24793109886159115,0.5802150537634408,0.71,13,45,0,142
actionable_decline_low_next,canopy_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.38559079864409257,0.6808602150537635,0.77,1,45,0,154
