model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
LightGBM,canopy_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.6504065040650406,0.7766990291262136,0.7079646017699115,0.7476635514018691,43,23,0.8333333333333334,0.6716417910447762,0.743801652892562,0.6987577639751553,0.8834960300128065,0.7721619176843059,18,44,90,48,0.54
LightGBM,canopy_only,max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.6504065040650406,0.7766990291262136,0.7079646017699115,0.7476635514018691,43,23,0.8333333333333334,0.6716417910447762,0.743801652892562,0.6987577639751553,0.8834960300128065,0.7721619176843059,18,44,90,48,0.54
Logistic Regression,oisst_only,default_0.5,0.5,,,False,0.6629213483146067,0.5728155339805825,0.6145833333333334,0.5888223552894212,30,44,0.7142857142857143,0.26119402985074625,0.3825136612021858,0.29914529914529914,0.7141019005558481,0.5197874265038445,14,99,35,52,0.245
Logistic Regression,oisst_only,max_f1,0.45,,,False,0.5902777777777778,0.8252427184466019,0.6882591093117408,0.7643884892086331,59,18,0.6805555555555556,0.3656716417910448,0.47572815533980584,0.4029605263157895,0.7141019005558481,0.5197874265038445,23,85,49,43,0.36
Logistic Regression,oisst_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7141019005558481,0.5197874265038445,66,0,134,0,1.0
Logistic Regression,oisst_only,recall_ge_0.70_then_max_f1,0.45,,,False,0.5902777777777778,0.8252427184466019,0.6882591093117408,0.7643884892086331,59,18,0.6805555555555556,0.3656716417910448,0.47572815533980584,0.4029605263157895,0.7141019005558481,0.5197874265038445,23,85,49,43,0.36
Logistic Regression,oisst_only,max_recall_precision_ge_0.65,0.5,0.65,0.65,False,0.6629213483146067,0.5728155339805825,0.6145833333333334,0.5888223552894212,30,44,0.7142857142857143,0.26119402985074625,0.3825136612021858,0.29914529914529914,0.7141019005558481,0.5197874265038445,14,99,35,52,0.245
SVM,oisst_only,default_0.5,0.5,,,False,0.7916666666666666,0.36893203883495146,0.5033112582781457,0.41304347826086957,10,65,0.9285714285714286,0.09701492537313433,0.17567567567567569,0.11818181818181818,0.7412263285153959,0.5102894617819991,1,121,13,65,0.07
SVM,oisst_only,max_f1,0.25,,,False,0.5439560439560439,0.9611650485436893,0.6947368421052632,0.8333333333333334,83,4,0.6486486486486487,0.5373134328358209,0.5877551020408164,0.5564142194744977,0.7412263285153959,0.5102894617819991,39,62,72,27,0.555
SVM,oisst_only,max_f2,0.15,,,False,0.5255102040816326,1.0,0.6889632107023411,0.8470394736842105,93,0,0.618421052631579,0.7014925373134329,0.6573426573426573,0.6831395348837209,0.7412263285153959,0.5102894617819991,58,40,94,8,0.76
