threshold,precision,recall,f1,f2,false_positives,false_negatives,true_positives,true_negatives,predicted_positive_rate,target,feature_set,model_family,model_variant,model,selection_split
0.9,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.1,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.15,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.2,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.25,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.3,0.4090909090909091,0.08737864077669903,0.144,0.10368663594470046,13,94,9,84,0.11,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.35,1.0,0.038834951456310676,0.07476635514018691,0.04807692307692308,0,99,4,97,0.02,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.4,1.0,0.038834951456310676,0.07476635514018691,0.04807692307692308,0,99,4,97,0.02,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.45,1.0,0.038834951456310676,0.07476635514018691,0.04807692307692308,0,99,4,97,0.02,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.5,1.0,0.02912621359223301,0.05660377358490566,0.03614457831325301,0,100,3,97,0.015,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.55,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.6,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.65,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.7,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.75,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.8,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.85,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.9,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,unweighted,SVM (unweighted),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.1,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.15,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.2,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.25,0.5105263157894737,0.941747572815534,0.6621160409556314,0.8056478405315615,93,6,97,4,0.95,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.3,0.76,0.7378640776699029,0.7487684729064039,0.7421875,24,27,76,73,0.5,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.35,0.8666666666666667,0.5048543689320388,0.6380368098159509,0.5508474576271186,8,51,52,89,0.3,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.4,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.45,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.5,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.55,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.6,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.65,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.7,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.75,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.8,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.85,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.9,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.1,0.5238095238095238,0.9611650485436893,0.678082191780822,0.8236272878535774,90,4,99,7,0.945,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.15,0.5523255813953488,0.9223300970873787,0.6909090909090909,0.8133561643835616,77,8,95,20,0.86,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.2,0.5870967741935483,0.883495145631068,0.7054263565891473,0.8024691358024691,64,12,91,33,0.775,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.25,0.5957446808510638,0.8155339805825242,0.6885245901639344,0.759493670886076,57,19,84,40,0.705,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.3,0.6451612903225806,0.7766990291262136,0.7048458149779736,0.746268656716418,44,23,80,53,0.62,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.35,0.71,0.6893203883495146,0.6995073891625616,0.693359375,29,32,71,68,0.5,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.4,0.7530864197530864,0.5922330097087378,0.6630434782608695,0.6186612576064908,20,42,61,77,0.405,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.45,0.8333333333333334,0.5339805825242718,0.650887573964497,0.5753138075313807,11,48,55,86,0.33,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.5,0.8518518518518519,0.44660194174757284,0.5859872611464968,0.49356223175965663,8,57,46,89,0.27,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.55,0.9148936170212766,0.4174757281553398,0.5733333333333334,0.4684095860566449,4,60,43,93,0.235,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
